"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CALCA (000)",16926,171,6192,5572,1711,548,231,69,15,,2417
"Catolica (001)",14382,148,5205,4703,1484,495,200,66,15,,2066
"Cristiana / Evangelica (002)",1952,17,766,681,167,39,24,2,,,256
"Otra (003)",455,3,172,155,45,11,6,,,,63
"Ninguna (004)",137,3,49,33,15,3,1,1,,,32
,,,,,,,,,,,
"URBANA (006)",6353,76,2060,1958,799,262,112,28,8,,1050
"Catolica (007)",5700,64,1844,1757,725,239,105,26,8,,932
"Cristiana / Evangelica (008)",429,8,140,138,45,16,4,2,,,76
"Otra (009)",159,3,54,50,21,5,2,,,,24
"Ninguna (010)",65,1,22,13,8,2,1,,,,18
,,,,,,,,,,,
"RURAL (012)",10573,95,4132,3614,912,286,119,41,7,,1367
"Catolica (013)",8682,84,3361,2946,759,256,95,40,7,,1134
"Cristiana / Evangelica (014)",1523,9,626,543,122,23,20,,,,180
"Otra (015)",296,,118,105,24,6,4,,,,39
"Ninguna (016)",72,2,27,20,7,1,,1,,,14
