"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia COTABAMBAS (000)",10797,10441,67,1550,1602,1598,2948,1888,658,130,356,41601
"De 12 a 14 años (001)",16,12,,7,5,,,,,,4,17
"De 15 a 19 años (002)",328,287,9,228,44,3,3,,,,41,337
"De 20 a 24 años (003)",1063,980,5,461,366,121,23,4,,,83,1676
"De 25 a 29 años (004)",1324,1239,5,270,385,320,236,21,2,,85,3144
"De 30 a 34 años (005)",1300,1261,2,135,207,301,463,131,20,2,39,4491
"De 35 a 39 años (006)",1213,1200,2,67,130,203,460,276,54,8,13,5287
"De 40 a 44 años (007)",1148,1138,5,44,80,111,408,350,114,26,10,5844
"De 45 a 49 años (008)",939,926,1,47,59,103,295,279,113,29,13,4846
"De 50 y más años (009)",3466,3398,38,291,326,436,1060,827,355,65,68,15959
"PEA (010)",1728,1632,5,344,321,287,396,190,75,14,96,5588
"De 12 a 14 años (011)",3,3,,1,2,,,,,,,5
"De 15 a 19 años (012)",38,35,1,28,5,1,,,,,3,41
"De 20 a 24 años (013)",149,134,,72,41,17,3,1,,,15,224
"De 25 a 29 años (014)",268,227,3,81,73,39,29,2,,,41,477
"De 30 a 34 años (015)",286,271,1,68,58,71,57,12,3,1,15,764
"De 35 a 39 años (016)",259,250,,31,52,55,79,27,5,1,9,876
"De 40 a 44 años (017)",208,205,,22,32,35,70,35,9,2,3,824
"De 45 a 49 años (018)",158,153,,10,16,22,55,34,10,6,5,721
"De 50 y más años (019)",359,354,,31,42,47,103,79,48,4,5,1656
"Ocupada (020)",1622,1531,5,325,305,267,370,172,73,14,91,5231
"De 12 a 14 años (021)",3,3,,1,2,,,,,,,5
"De 15 a 19 años (022)",34,31,1,26,3,1,,,,,3,35
