"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAMANGA (000)",55557,711,20056,16930,6799,2579,1121,376,39,,6946
"Sin Nivel (001)",12679,240,5024,3600,1288,536,331,195,24,,1441
"Educación Inicial (002)",149,3,70,38,12,3,,,,,23
"Primaria (003)",16705,306,7885,4866,1345,455,242,95,5,,1506
"Secundaria (004)",12094,116,4994,3982,1028,337,141,27,3,,1466
"Sup. no Univ. Incompleta (005)",2168,6,509,792,260,74,29,2,,,496
"Sup. no Univ. Completa (006)",4102,23,656,1394,1019,332,99,16,2,,561
"Sup. Univ. Incompleta (007)",2256,7,368,752,363,93,44,4,,,625
"Sup. Univ. Completa (008)",5404,10,550,1506,1484,749,235,37,5,,828
,,,,,,,,,,,
"URBANA (010)",40303,496,13361,12333,5549,2161,906,282,24,,5191
"Sin Nivel (011)",6038,138,2328,1576,641,277,186,123,13,,756
"Educación Inicial (012)",40,,20,7,6,2,,,,,5
"Primaria (013)",10090,203,4684,2922,890,336,183,74,2,,796
"Secundaria (014)",10423,109,4286,3442,925,309,133,26,2,,1191
"Sup. no Univ. Incompleta (015)",2078,6,492,760,249,71,28,2,,,470
"Sup. no Univ. Completa (016)",4041,23,644,1384,1000,330,99,16,2,,543
"Sup. Univ. Incompleta (017)",2231,7,363,745,362,93,43,4,,,614
"Sup. Univ. Completa (018)",5362,10,544,1497,1476,743,234,37,5,,816
,,,,,,,,,,,
"RURAL (020)",15254,215,6695,4597,1250,418,215,94,15,,1755
"Sin Nivel (021)",6641,102,2696,2024,647,259,145,72,11,,685
"Educación Inicial (022)",109,3,50,31,6,1,,,,,18
"Primaria (023)",6615,103,3201,1944,455,119,59,21,3,,710
"Secundaria (024)",1671,7,708,540,103,28,8,1,1,,275
"Sup. no Univ. Incompleta (025)",90,,17,32,11,3,1,,,,26
"Sup. no Univ. Completa (026)",61,,12,10,19,2,,,,,18
"Sup. Univ. Incompleta (027)",25,,5,7,1,,1,,,,11
"Sup. Univ. Completa (028)",42,,6,9,8,6,1,,,,12
