"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia DOS DE MAYO (000)",39960,16328,2648,329,20694
"Hombres (001)",19736,7607,1312,211,10631
"Mujeres (002)",20224,8721,1336,118,10063
"PEA (003)",12846,2262,1268,159,9166
"Hombres (004)",9544,1577,730,130,7115
"Mujeres (005)",3302,685,538,29,2051
"Ocupada (006)",12132,2143,1224,156,8618
"Hombres (007)",9014,1492,699,128,6703
"Mujeres (008)",3118,651,525,28,1915
"Desocupada (009)",714,119,44,3,548
"Hombres (010)",530,85,31,2,412
"Mujeres (011)",184,34,13,1,136
"No PEA (012)",27114,14066,1380,170,11528
"Hombres (013)",10192,6030,582,81,3516
"Mujeres (014)",16922,8036,798,89,8012
,,,,,
"URBANA (018)",14213,4604,2175,241,7208
"Hombres (019)",6972,2128,1075,157,3623
"Mujeres (020)",7241,2476,1100,84,3585
"PEA (021)",4935,565,1061,116,3196
"Hombres (022)",3373,382,586,95,2312
"Mujeres (023)",1562,183,475,21,884
"Ocupada (024)",4626,523,1039,115,2952
"Hombres (025)",3141,350,571,94,2128
"Mujeres (026)",1485,173,468,21,824
"Desocupada (027)",309,42,22,1,244
"Hombres (028)",232,32,15,1,184
"Mujeres (029)",77,10,7,,60
"No PEA (030)",9278,4039,1114,125,4012
"Hombres (031)",3599,1746,489,62,1311
"Mujeres (032)",5679,2293,625,63,2701
,,,,,
"RURAL (036)",25747,11724,473,88,13486
"Hombres (037)",12764,5479,237,54,7008
"Mujeres (038)",12983,6245,236,34,6478
"PEA (039)",7911,1697,207,43,5970
"Hombres (040)",6171,1195,144,35,4803
"Mujeres (041)",1740,502,63,8,1167
"Ocupada (042)",7506,1620,185,41,5666
"Hombres (043)",5873,1142,128,34,4575
"Mujeres (044)",1633,478,57,7,1091
"Desocupada (045)",405,77,22,2,304
"Hombres (046)",298,53,16,1,228
"Mujeres (047)",107,24,6,1,76
"No PEA (048)",17836,10027,266,45,7516
"Hombres (049)",6593,4284,93,19,2205
"Mujeres (050)",11243,5743,173,26,5311
