"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia EL DORADO (000)",8084,245,4129,1932,492,160,89,28,3,,1006
"Conviviente (001)",3579,151,1895,781,190,55,27,10,2,,468
"Separado(a) (002)",212,7,101,60,9,6,5,,1,,23
"Casado(a) (003)",3479,73,1818,904,241,76,44,13,,,310
"Viudo(a) (004)",415,7,172,115,24,11,11,3,,,72
"Divorciado(a) (005)",19,,7,8,,,,,,,4
"Soltero(a) (006)",380,7,136,64,28,12,2,2,,,129
,,,,,,,,,,,
"URBANA (008)",3408,79,1619,838,252,79,60,20,1,,460
"Conviviente (009)",1383,44,692,300,95,23,18,6,1,,204
"Separado(a) (010)",120,5,51,38,4,5,4,,,,13
"Casado(a) (011)",1499,23,726,407,125,39,29,10,,,140
"Viudo(a) (012)",193,3,77,50,11,4,8,2,,,38
"Divorciado(a) (013)",9,,2,6,,,,,,,1
"Soltero(a) (014)",204,4,71,37,17,8,1,2,,,64
,,,,,,,,,,,
"RURAL (016)",4676,166,2510,1094,240,81,29,8,2,,546
"Conviviente (017)",2196,107,1203,481,95,32,9,4,1,,264
"Separado(a) (018)",92,2,50,22,5,1,1,,1,,10
"Casado(a) (019)",1980,50,1092,497,116,37,15,3,,,170
"Viudo(a) (020)",222,4,95,65,13,7,3,1,,,34
"Divorciado(a) (021)",10,,5,2,,,,,,,3
"Soltero(a) (022)",176,3,65,27,11,4,1,,,,65
