"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ACOMAYO (000)",9524,9219,2326,871,957,971,1764,1150,1180,305
"Católica (001)",8374,8099,2026,762,834,848,1555,1026,1048,275
"Cristiana/Evangélica (002)",929,904,228,92,104,96,176,99,109,25
"Otra (003)",130,129,37,10,8,18,23,17,16,1
"Ninguna (004)",91,87,35,7,11,9,10,8,7,4
,,,,,,,,,,
"URBANA (006)",5199,5001,1269,496,584,524,957,618,553,198
"Católica (007)",4686,4500,1123,445,526,464,861,567,514,186
"Cristiana/Evangélica (008)",374,366,100,40,47,39,74,35,31,8
"Otra (009)",90,89,25,8,7,15,17,12,5,1
"Ninguna (010)",49,46,21,3,4,6,5,4,3,3
,,,,,,,,,,
"RURAL (012)",4325,4218,1057,375,373,447,807,532,627,107
"Católica (013)",3688,3599,903,317,308,384,694,459,534,89
"Cristiana/Evangélica (014)",555,538,128,52,57,57,102,64,78,17
"Otra (015)",40,40,12,2,1,3,6,5,11,
"Ninguna (016)",42,41,14,4,7,3,5,4,4,1
