"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CANGALLO (000)",16389,2526,5382,4343,4138
"Asiste actualmente (001)",11409,1036,5034,3920,1419
"No asiste (002)",4980,1490,348,423,2719
"Hombres (004)",8239,1245,2714,2252,2028
"Asiste actualmente (005)",5950,507,2536,2089,818
"No asiste (006)",2289,738,178,163,1210
"Mujeres (008)",8150,1281,2668,2091,2110
"Asiste actualmente (009)",5459,529,2498,1831,601
"No asiste (010)",2691,752,170,260,1509
,,,,,
"URBANA (012)",5714,831,1787,1641,1455
"Asiste actualmente (013)",4254,392,1709,1525,628
"No asiste (014)",1460,439,78,116,827
"Hombres (016)",2896,408,896,872,720
"Asiste actualmente (017)",2224,196,855,824,349
"No asiste (018)",672,212,41,48,371
"Mujeres (020)",2818,423,891,769,735
"Asiste actualmente (021)",2030,196,854,701,279
"No asiste (022)",788,227,37,68,456
,,,,,
"RURAL (024)",10675,1695,3595,2702,2683
"Asiste actualmente (025)",7155,644,3325,2395,791
"No asiste (026)",3520,1051,270,307,1892
"Hombres (028)",5343,837,1818,1380,1308
"Asiste actualmente (029)",3726,311,1681,1265,469
"No asiste (030)",1617,526,137,115,839
"Mujeres (032)",5332,858,1777,1322,1375
"Asiste actualmente (033)",3429,333,1644,1130,322
"No asiste (034)",1903,525,133,192,1053
