"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ZARUMILLA (000)",30817,4543,6993,7226,5382,3469,3204
"Católica (001)",25570,3750,5771,5995,4491,2881,2682
"Cristiana/Evangélica (002)",3706,574,794,841,634,462,401
"Otra (003)",767,121,176,166,155,76,73
"Ninguna (004)",774,98,252,224,102,50,48
"Hombres (006)",16424,2299,3778,3743,2875,1914,1815
"Católica (007)",13783,1900,3152,3140,2418,1619,1554
"Cristiana/Evangélica (008)",1785,285,372,399,318,222,189
"Otra (009)",365,59,94,69,70,38,35
"Ninguna (010)",491,55,160,135,69,35,37
"Mujeres (012)",14393,2244,3215,3483,2507,1555,1389
"Católica (013)",11787,1850,2619,2855,2073,1262,1128
"Cristiana/Evangélica (014)",1921,289,422,442,316,240,212
"Otra (015)",402,62,82,97,85,38,38
"Ninguna (016)",283,43,92,89,33,15,11
,,,,,,,
"URBANA (018)",28056,4129,6387,6628,4937,3181,2794
"Católica (019)",23313,3410,5269,5513,4122,2659,2340
"Cristiana/Evangélica (020)",3331,514,726,755,579,412,345
"Otra (021)",711,113,161,154,148,68,67
"Ninguna (022)",701,92,231,206,88,42,42
"Hombres (024)",14884,2089,3461,3413,2612,1752,1557
"Católica (025)",12489,1722,2886,2867,2197,1488,1329
"Cristiana/Evangélica (026)",1611,259,341,357,290,201,163
"Otra (027)",344,57,90,64,68,33,32
"Ninguna (028)",440,51,144,125,57,30,33
"Mujeres (030)",13172,2040,2926,3215,2325,1429,1237
"Católica (031)",10824,1688,2383,2646,1925,1171,1011
"Cristiana/Evangélica (032)",1720,255,385,398,289,211,182
"Otra (033)",367,56,71,90,80,35,35
"Ninguna (034)",261,41,87,81,31,12,9
,,,,,,,
"RURAL (036)",2761,414,606,598,445,288,410
"Católica (037)",2257,340,502,482,369,222,342
"Cristiana/Evangélica (038)",375,60,68,86,55,50,56
"Otra (039)",56,8,15,12,7,8,6
"Ninguna (040)",73,6,21,18,14,8,6
"Hombres (042)",1540,210,317,330,263,162,258
"Católica (043)",1294,178,266,273,221,131,225
"Cristiana/Evangélica (044)",174,26,31,42,28,21,26
"Otra (045)",21,2,4,5,2,5,3
"Ninguna (046)",51,4,16,10,12,5,4
"Mujeres (048)",1221,204,289,268,182,126,152
"Católica (049)",963,162,236,209,148,91,117
"Cristiana/Evangélica (050)",201,34,37,44,27,29,30
"Otra (051)",35,6,11,7,5,3,3
"Ninguna (052)",22,2,5,8,2,3,2
