"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia SUCRE",,,,,,,,
"Hogares (001)",3837,2162,1107,175,19,29,75,1360
"Ocupantes presentes (002)",12556,7788,4447,711,62,114,366,3490
"Casa independiente",,,,,,,,
"Hogares (004)",3547,1961,1097,174,19,29,74,1275
"Ocupantes presentes (005)",11650,7095,4411,706,62,114,361,3293
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",8,4,5,,,,,1
"Ocupantes presentes (011)",20,7,14,,,,,1
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",9,5,3,1,,,1,3
"Ocupantes presentes (014)",21,13,10,5,,,5,4
"Choza o cabaña",,,,,,,,
"Hogares (016)",272,192,2,,,,,80
"Ocupantes presentes (017)",864,673,12,,,,,191
"Vivienda improvisada",,,,,,,,
"Hogares (019)",1,,,,,,,1
"Ocupantes presentes (020)",1,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",2273,1338,911,140,18,29,70,673
"Ocupantes presentes (029)",7656,4959,3637,574,59,114,343,1667
"Casa independiente",,,,,,,,
"Hogares (031)",2255,1329,903,139,18,29,69,668
"Ocupantes presentes (032)",7614,4939,3613,569,59,114,338,1661
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",8,4,5,,,,,1
"Ocupantes presentes (038)",20,7,14,,,,,1
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",9,5,3,1,,,1,3
"Ocupantes presentes (041)",21,13,10,5,,,5,4
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",1,,,,,,,1
"Ocupantes presentes (047)",1,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",1564,824,196,35,1,,5,687
"Ocupantes presentes (056)",4900,2829,810,137,3,,23,1823
"Casa independiente",,,,,,,,
"Hogares (058)",1292,632,194,35,1,,5,607
"Ocupantes presentes (059)",4036,2156,798,137,3,,23,1632
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",272,192,2,,,,,80
"Ocupantes presentes (071)",864,673,12,,,,,191
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
