"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ANTA (000)",20081,63973,55842,,831,87.3,1.3
"De 12 a 14 años (001)",2339,3,3,,,100,
"De 15 a 19 años (002)",2611,302,297,92,98.3,30.5,
"De 20 a 24 años (003)",1864,1589,1553,190,97.7,12,
"De 25 a 29 años (004)",1700,3155,3066,187,97.2,5.9,
"De 30 a 34 años (005)",1644,4876,4650,168,95.4,3.4,
"De 35 a 39 años (006)",1760,6803,6373,118,93.7,1.7,
"De 40 a 44 años (007)",1603,7727,7105,69,92,0.9,
"De 45 a 49 años (008)",1403,7749,6830,7,88.1,0.1,
"De 50 y más años (009)",5157,31769,25965,,81.7,,
"PEA (010)",4560,14203,12846,195,90.4,1.4,
"De 12 a 14 años (011)",75,1,1,,100,,
"De 15 a 19 años (012)",343,67,65,15,97,22.4,
"De 20 a 24 años (013)",571,371,367,46,98.9,12.4,
"De 25 a 29 años (014)",563,779,764,42,98.1,5.4,
"De 30 a 34 años (015)",504,1203,1163,44,96.7,3.7,
"De 35 a 39 años (016)",523,1710,1628,32,95.2,1.9,
"De 40 a 44 años (017)",479,1903,1783,15,93.7,0.8,
"De 45 a 49 años (018)",421,1999,1829,1,91.5,0.1,
"De 50 y más años (019)",1081,6170,5246,,85,,
"Ocupada (020)",4404,13899,12571,187,90.4,1.3,
"De 12 a 14 años (021)",72,1,1,,100,,
"De 15 a 19 años (022)",309,61,59,14,96.7,23,
"De 20 a 24 años (023)",540,354,350,43,98.9,12.1,
"De 25 a 29 años (024)",541,758,743,42,98,5.5,
"De 30 a 34 años (025)",484,1164,1124,42,96.6,3.6,
"De 35 a 39 años (026)",506,1642,1563,30,95.2,1.8,
"De 40 a 44 años (027)",472,1873,1761,15,94,0.8,
"De 45 a 49 años (028)",413,1963,1799,1,91.6,0.1,
"De 50 y más años (029)",1067,6083,5171,,85,,
"Desocupada (030)",156,304,275,8,90.5,2.6,
"De 12 a 14 años (031)",3,,,,,,
"De 15 a 19 años (032)",34,6,6,1,100,16.7,
"De 20 a 24 años (033)",31,17,17,3,100,17.6,
"De 25 a 29 años (034)",22,21,21,,100,,
"De 30 a 34 años (035)",20,39,39,2,100,5.1,
"De 35 a 39 años (036)",17,68,65,2,95.6,2.9,
"De 40 a 44 años (037)",7,30,22,,73.3,,
