"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUAYLAS (000)",53729,1047,18380,12823,9607,7520,4352
"Hombres (001)",26491,520,9370,6341,4696,3649,1915
"Mujeres (002)",27238,527,9010,6482,4911,3871,2437
"Viviendas particulares (003)",53368,1041,18367,12661,9494,7458,4347
"Hombres (004)",26211,517,9359,6212,4610,3601,1912
"Mujeres (005)",27157,524,9008,6449,4884,3857,2435
"Viviendas colectivas (006)",316,6,7,147,99,53,4
"Hombres (007)",249,3,5,120,77,42,2
"Mujeres (008)",67,3,2,27,22,11,2
"Otro tipo (009)",45,,6,15,14,9,1
"Hombres (010)",31,,6,9,9,6,1
"Mujeres (011)",14,,,6,5,3,
,,,,,,,
"URBANA (012)",17538,302,5015,4551,3522,2758,1390
"Hombres (013)",8584,152,2599,2232,1660,1348,593
"Mujeres (014)",8954,150,2416,2319,1862,1410,797
"Viviendas particulares (015)",17187,296,5002,4396,3412,2696,1385
"Hombres (016)",8313,149,2588,2110,1576,1300,590
"Mujeres (017)",8874,147,2414,2286,1836,1396,795
"Viviendas colectivas (018)",306,6,7,140,96,53,4
"Hombres (019)",240,3,5,113,75,42,2
"Mujeres (020)",66,3,2,27,21,11,2
"Otro tipo (021)",45,,6,15,14,9,1
"Hombres (022)",31,,6,9,9,6,1
"Mujeres (023)",14,,,6,5,3,
,,,,,,,
"RURAL (024)",36191,745,13365,8272,6085,4762,2962
"Hombres (025)",17907,368,6771,4109,3036,2301,1322
"Mujeres (026)",18284,377,6594,4163,3049,2461,1640
"Viviendas particulares (027)",36181,745,13365,8265,6082,4762,2962
"Hombres (028)",17898,368,6771,4102,3034,2301,1322
"Mujeres (029)",18283,377,6594,4163,3048,2461,1640
"Viviendas colectivas (030)",10,,,7,3,,
"Hombres (031)",9,,,7,2,,
"Mujeres (032)",1,,,,1,,
