"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJATAMBO (000)",2864,2167,191,165,341
"Sin nivel (001)",140,128,11,,1
"Educación inicial (002)",1,1,,,
"Primaria (003)",1020,953,35,4,28
"Secundaria (004)",930,797,54,16,63
"Superior no univ. incompleta (005)",124,65,9,8,42
"Superior no univ. completa (006)",185,70,19,27,69
"Superior univ. incompleta (007)",100,59,6,10,25
"Superior univ. completa (008)",364,94,57,100,113
"De 06 a 14 años (010)",64,59,5,,
"Sin nivel (011)",5,4,1,,
"Primaria (013)",47,43,4,,
"Secundaria (014)",12,12,,,
"De 15 a 29 años (020)",700,509,55,27,109
"Sin nivel (021)",5,4,1,,
"Educación inicial (022)",1,1,,,
"Primaria (023)",127,115,8,2,2
"Secundaria (024)",386,328,25,6,27
"Superior no univ. incompleta (025)",46,22,5,2,17
"Superior no univ. completa (026)",52,18,5,4,25
"Superior univ. incompleta (027)",25,12,3,2,8
"Superior univ. completa (028)",58,9,8,11,30
"De 30 a 44 años (030)",988,667,83,88,150
"Sin nivel (031)",23,21,2,,
"Primaria (033)",260,239,7,,14
"Secundaria (034)",318,270,21,6,21
"Superior no univ. incompleta (035)",45,26,3,,16
"Superior no univ. completa (036)",98,33,13,17,35
"Superior univ. incompleta (037)",42,27,3,5,7
"Superior univ. completa (038)",202,51,34,60,57
"De 45 a 64 años (040)",780,618,38,48,76
"Sin nivel (041)",59,55,3,,1
"Primaria (043)",358,336,12,,10
"Secundaria (044)",180,156,7,4,13
"Superior no univ. incompleta (045)",28,12,1,6,9
"Superior no univ. completa (046)",32,17,1,6,8
"Superior univ. incompleta (047)",28,15,,3,10
"Superior univ. completa (048)",95,27,14,29,25
"De 65 y más años (050)",332,314,10,2,6
"Sin nivel (051)",48,44,4,,
"Primaria (053)",228,220,4,2,2
"Secundaria (054)",34,31,1,,2
"Superior no univ. incompleta (055)",5,5,,,
"Superior no univ. completa (056)",3,2,,,1
"Superior univ. incompleta (057)",5,5,,,
"Superior univ. completa (058)",9,7,1,,1
,,,,,
"URBANA (060)",1734,1269,128,148,189
"Sin nivel (061)",85,81,3,,1
"Educación inicial (062)",1,1,,,
"Primaria (063)",517,485,19,4,9
"Secundaria (064)",604,505,44,15,40
