"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PALPA (000)",5170,3257,853,543,517
"Sin nivel (001)",148,102,30,13,3
"Primaria (003)",1073,738,181,117,37
"Secundaria (004)",2386,1572,418,227,169
"Superior no univ. incompleta (005)",340,214,56,29,41
"Superior no univ. completa (006)",572,295,84,73,120
"Superior univ. incompleta (007)",190,134,19,10,27
"Superior univ. completa (008)",461,202,65,74,120
"De 06 a 14 años (010)",89,47,22,20,
"Sin nivel (011)",1,,1,,
"Primaria (013)",53,25,12,16,
"Secundaria (014)",35,22,9,4,
"De 15 a 29 años (020)",1589,919,318,191,161
"Sin nivel (021)",13,6,3,3,1
"Primaria (023)",118,68,21,16,13
"Secundaria (024)",929,549,193,116,71
"Superior no univ. incompleta (025)",183,116,37,17,13
"Superior no univ. completa (026)",207,113,42,23,29
"Superior univ. incompleta (027)",61,35,9,6,11
"Superior univ. completa (028)",78,32,13,10,23
"De 30 a 44 años (030)",1798,1084,300,209,205
"Sin nivel (031)",29,14,8,6,1
"Primaria (033)",274,157,61,44,12
"Secundaria (034)",853,571,156,74,52
"Superior no univ. incompleta (035)",109,67,15,9,18
"Superior no univ. completa (036)",256,129,32,36,59
"Superior univ. incompleta (037)",68,46,6,3,13
"Superior univ. completa (038)",209,100,22,37,50
"De 45 a 64 años (040)",1378,934,186,117,141
"Sin nivel (041)",66,51,11,3,1
"Primaria (043)",430,307,76,37,10
"Secundaria (044)",519,389,55,32,43
"Superior no univ. incompleta (045)",43,27,3,3,10
"Superior no univ. completa (046)",102,49,9,14,30
"Superior univ. incompleta (047)",58,50,4,1,3
"Superior univ. completa (048)",160,61,28,27,44
"De 65 y más años (050)",316,273,27,6,10
"Sin nivel (051)",39,31,7,1,
"Primaria (053)",198,181,11,4,2
"Secundaria (054)",50,41,5,1,3
"Superior no univ. incompleta (055)",5,4,1,,
"Superior no univ. completa (056)",7,4,1,,2
"Superior univ. incompleta (057)",3,3,,,
"Superior univ. completa (058)",14,9,2,,3
,,,,,
"URBANA (060)",3374,2030,495,385,464
"Sin nivel (061)",73,40,18,12,3
"Primaria (063)",611,391,103,82,35
"Secundaria (064)",1467,962,219,143,143
"Superior no univ. incompleta (065)",235,154,30,15,36
