"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia YAROWILCA (000)",30028,1914,9677,5221,3576,3216,2410,1974,2040
"Quechua (001)",18308,830,4653,2642,2269,2353,1980,1723,1858
"Aymara (002)",30,6,9,2,5,3,1,2,2
"Ashaninca (003)",6,,3,,1,1,,,1
"Otra lengua nativa (004)",2,,,1,1,,,,
"Castellano (005)",11633,1078,5002,2568,1294,848,425,246,172
"Es sordomudo/a (007)",49,,10,8,6,11,4,3,7
"Hombres (009)",14446,991,4845,2517,1633,1479,1087,912,982
"Quechua (010)",8439,431,2296,1215,984,1031,860,764,858
"Aymara (011)",9,,3,2,2,1,,1,
"Ashaninca (012)",3,,1,,,1,,,1
"Otra lengua nativa (013)",1,,,1,,,,,
"Castellano (014)",5970,560,2540,1294,645,440,226,146,119
"Es sordomudo/a (016)",24,,5,5,2,6,1,1,4
"Mujeres (018)",15582,923,4832,2704,1943,1737,1323,1062,1058
"Quechua (019)",9869,399,2357,1427,1285,1322,1120,959,1000
"Aymara (020)",21,6,6,,3,2,1,1,2
"Ashaninca (021)",3,,2,,1,,,,
"Otra lengua nativa (022)",1,,,,1,,,,
"Castellano (023)",5663,518,2462,1274,649,408,199,100,53
"Es sordomudo/a (025)",25,,5,3,4,5,3,2,3
,,,,,,,,,
"URBANA (027)",7385,460,2187,1359,1037,904,596,421,421
"Quechua (028)",3048,98,503,403,462,495,414,319,354
"Aymara (029)",16,2,6,,4,2,,2,
"Castellano (032)",4312,360,1676,955,571,407,179,98,66
"Es sordomudo/a (034)",9,,2,1,,,3,2,1
"Hombres (036)",3633,233,1114,679,482,435,286,200,204
"Quechua (037)",1391,46,237,190,202,222,193,141,160
"Aymara (038)",7,,3,,2,1,,1,
"Castellano (041)",2232,187,874,488,278,212,92,57,44
"Es sordomudo/a (043)",3,,,1,,,1,1,
"Mujeres (045)",3752,227,1073,680,555,469,310,221,217
"Quechua (046)",1657,52,266,213,260,273,221,178,194
"Aymara (047)",9,2,3,,2,1,,1,
"Castellano (050)",2080,173,802,467,293,195,87,41,22
"Es sordomudo/a (052)",6,,2,,,,2,1,1
,,,,,,,,,
"RURAL (054)",22643,1454,7490,3862,2539,2312,1814,1553,1619
"Quechua (055)",15260,732,4150,2239,1807,1858,1566,1404,1504
"Aymara (056)",14,4,3,2,1,1,1,,2
"Ashaninca (057)",6,,3,,1,1,,,1
"Otra lengua nativa (058)",2,,,1,1,,,,
"Castellano (059)",7321,718,3326,1613,723,441,246,148,106
"Es sordomudo/a (061)",40,,8,7,6,11,1,1,6
"Hombres (063)",10813,758,3731,1838,1151,1044,801,712,778
"Quechua (064)",7048,385,2059,1025,782,809,667,623,698
"Aymara (065)",2,,,2,,,,,
"Ashaninca (066)",3,,1,,,1,,,1
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",3738,373,1666,806,367,228,134,89,75
"Es sordomudo/a (070)",21,,5,4,2,6,,,4
"Mujeres (072)",11830,696,3759,2024,1388,1268,1013,841,841
"Quechua (073)",8212,347,2091,1214,1025,1049,899,781,806
"Aymara (074)",12,4,3,,1,1,1,,2
"Ashaninca (075)",3,,2,,1,,,,
"Otra lengua nativa (076)",1,,,,1,,,,
"Castellano (077)",3583,345,1660,807,356,213,112,59,31
"Es sordomudo/a (079)",19,,3,3,4,5,1,1,2
