"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia RECUAY",,,,,,,,,
"Viviendas particulares (001)",3041,261,44,24,331,274,22,26,2059
"Ocupantes presentes (002)",12162,936,157,86,1244,1071,87,118,8463
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3001,234,44,24,331,274,22,26,2046
"Ocupantes presentes (005)",12034,851,157,86,1244,1071,87,118,8420
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",6,,,,,,,,6
"Ocupantes presentes (011)",16,,,,,,,,16
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",29,27,,,,,,,2
"Ocupantes presentes (014)",93,85,,,,,,,8
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1,,,,,,,,1
"Ocupantes presentes (017)",4,,,,,,,,4
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,,,,,,,,1
"Ocupantes presentes (020)",9,,,,,,,,9
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",3,,,,,,,,3
"Ocupantes presentes (023)",6,,,,,,,,6
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2064,222,24,14,262,270,16,25,1231
"Ocupantes presentes (029)",8064,797,84,47,999,1054,68,116,4899
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2025,195,24,14,262,270,16,25,1219
"Ocupantes presentes (032)",7940,712,84,47,999,1054,68,116,4860
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",6,,,,,,,,6
"Ocupantes presentes (038)",16,,,,,,,,16
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",29,27,,,,,,,2
"Ocupantes presentes (041)",93,85,,,,,,,8
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,,,,,,,,1
"Ocupantes presentes (047)",9,,,,,,,,9
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",3,,,,,,,,3
"Ocupantes presentes (050)",6,,,,,,,,6
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",977,39,20,10,69,4,6,1,828
"Ocupantes presentes (056)",4098,139,73,39,245,17,19,2,3564
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",976,39,20,10,69,4,6,1,827
"Ocupantes presentes (059)",4094,139,73,39,245,17,19,2,3560
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1,,,,,,,,1
"Ocupantes presentes (071)",4,,,,,,,,4
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
