"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia DATEM DEL MARAÑON (000)",38,20,18
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",12,11,1
"Casa pensión (003)",1,,1
"Hospital, clinica (004)",2,1,1
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",17,4,13
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",4,2,2
