"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHANCHAMAYO (000)",158346,7790,42343,33236,25788,21231,13587,7664,6707
"Quechua (001)",14723,34,497,1431,2244,3167,2902,2245,2203
"Aymara (002)",131,3,8,10,17,31,29,14,19
"Ashaninca (003)",5965,377,1644,1277,952,794,506,242,173
"Otra lengua nativa (004)",729,22,137,149,123,120,82,55,41
"Castellano (005)",136580,7349,39986,30323,22416,17100,10051,5096,4259
"Idioma extranjero (006)",17,,3,4,1,1,4,2,2
"Es sordomudo/a (007)",201,5,68,42,35,18,13,10,10
"Hombres (009)",83809,3952,21884,17587,13478,11103,7544,4399,3862
"Quechua (010)",7805,16,285,789,1143,1656,1532,1219,1165
"Aymara (011)",70,,3,6,8,19,18,8,8
"Ashaninca (012)",3105,181,839,708,503,383,268,125,98
"Otra lengua nativa (013)",392,10,72,76,69,76,39,26,24
"Castellano (014)",72298,3742,20642,15979,11728,8960,5674,3016,2557
"Idioma extranjero (015)",12,,2,3,,1,3,1,2
"Es sordomudo/a (016)",127,3,41,26,27,8,10,4,8
"Mujeres (018)",74537,3838,20459,15649,12310,10128,6043,3265,2845
"Quechua (019)",6918,18,212,642,1101,1511,1370,1026,1038
"Aymara (020)",61,3,5,4,9,12,11,6,11
"Ashaninca (021)",2860,196,805,569,449,411,238,117,75
"Otra lengua nativa (022)",337,12,65,73,54,44,43,29,17
"Castellano (023)",64282,3607,19344,14344,10688,8140,4377,2080,1702
"Idioma extranjero (024)",5,,1,1,1,,1,1,
"Es sordomudo/a (025)",74,2,27,16,8,10,3,6,2
,,,,,,,,,
"URBANA (027)",90724,4054,24134,19489,15004,12717,7902,4057,3367
"Quechua (028)",6201,10,174,479,912,1387,1317,993,929
"Aymara (029)",64,,1,5,6,18,18,7,9
"Ashaninca (030)",449,6,42,153,68,80,66,19,15
"Otra lengua nativa (031)",165,5,28,35,34,26,18,12,7
"Castellano (032)",83737,4029,23856,18792,13968,11194,6475,3022,2401
"Idioma extranjero (033)",16,,3,4,1,1,4,1,2
"Es sordomudo/a (034)",92,4,30,21,15,11,4,3,4
"Hombres (036)",46106,2103,12378,9844,7314,6252,4199,2227,1789
"Quechua (037)",3029,5,89,246,424,652,668,507,438
"Aymara (038)",36,,,2,1,12,10,6,5
"Ashaninca (039)",243,4,26,118,28,29,26,7,5
"Otra lengua nativa (040)",75,1,14,19,13,16,5,5,2
"Castellano (041)",42653,2090,12229,9444,6835,5537,3485,1699,1334
"Idioma extranjero (042)",12,,2,3,,1,3,1,2
"Es sordomudo/a (043)",58,3,18,12,13,5,2,2,3
"Mujeres (045)",44618,1951,11756,9645,7690,6465,3703,1830,1578
"Quechua (046)",3172,5,85,233,488,735,649,486,491
"Aymara (047)",28,,1,3,5,6,8,1,4
"Ashaninca (048)",206,2,16,35,40,51,40,12,10
"Otra lengua nativa (049)",90,4,14,16,21,10,13,7,5
"Castellano (050)",41084,1939,11627,9348,7133,5657,2990,1323,1067
"Idioma extranjero (051)",4,,1,1,1,,1,,
"Es sordomudo/a (052)",34,1,12,9,2,6,2,1,1
,,,,,,,,,
"RURAL (054)",67622,3736,18209,13747,10784,8514,5685,3607,3340
"Quechua (055)",8522,24,323,952,1332,1780,1585,1252,1274
"Aymara (056)",67,3,7,5,11,13,11,7,10
"Ashaninca (057)",5516,371,1602,1124,884,714,440,223,158
"Otra lengua nativa (058)",564,17,109,114,89,94,64,43,34
"Castellano (059)",52843,3320,16130,11531,8448,5906,3576,2074,1858
"Idioma extranjero (060)",1,,,,,,,1,
"Es sordomudo/a (061)",109,1,38,21,20,7,9,7,6
"Hombres (063)",37703,1849,9506,7743,6164,4851,3345,2172,2073
"Quechua (064)",4776,11,196,543,719,1004,864,712,727
"Aymara (065)",34,,3,4,7,7,8,2,3
"Ashaninca (066)",2862,177,813,590,475,354,242,118,93
"Otra lengua nativa (067)",317,9,58,57,56,60,34,21,22
"Castellano (068)",29645,1652,8413,6535,4893,3423,2189,1317,1223
"Es sordomudo/a (070)",69,,23,14,14,3,8,2,5
"Mujeres (072)",29919,1887,8703,6004,4620,3663,2340,1435,1267
"Quechua (073)",3746,13,127,409,613,776,721,540,547
"Aymara (074)",33,3,4,1,4,6,3,5,7
"Ashaninca (075)",2654,194,789,534,409,360,198,105,65
"Otra lengua nativa (076)",247,8,51,57,33,34,30,22,12
"Castellano (077)",23198,1668,7717,4996,3555,2483,1387,757,635
"Idioma extranjero (078)",1,,,,,,,1,
"Es sordomudo/a (079)",40,1,15,7,6,4,1,5,1
