"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia VIRU (000)",17228,75638,12999,58044,4229,17594
"Casa independiente (001)",15847,71134,11806,54245,4041,16889
"Departamento en edificio (002)",84,271,84,271,,
"Vivienda en quinta (003)",399,1269,399,1269,,
"Vivienda en casa de vecindad (004)",326,1085,326,1085,,
"Choza o cabaña (005)",185,685,,,185,685
"Vivienda improvisada (006)",338,1084,338,1084,,
"Local no dest.para hab. humana (007)",23,76,20,56,3,20
"Otro tipo (008)",26,34,26,34,,
