"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUAMANGA (000)",207769,73533,28027,9073,97561
"Quechua (001)",104644,49630,7304,2056,45765
"Aymara (002)",223,67,15,10,134
"Asháninka (003)",42,13,4,10,18
"Otra lengua nativa (004)",118,18,29,10,62
"Castellano (005)",102452,23719,20658,6945,51437
"Idioma Extranjero (006)",72,1,3,38,30
"Es Sordomudo/a (007)",218,85,14,4,115
"Hombres (009)",101044,33795,13308,5188,49038
"Quechua (010)",49544,22284,3622,1164,22558
"Aymara (011)",113,27,6,7,75
"Asháninka (012)",24,5,2,6,11
"Otra lengua nativa (013)",54,7,15,3,29
"Castellano (014)",51166,11430,9654,3984,26297
"Idioma Extranjero (015)",38,1,1,22,14
"Es Sordomudo/a (016)",105,41,8,2,54
"Mujeres (018)",106725,39738,14719,3885,48523
"Quechua (019)",55100,27346,3682,892,23207
"Aymara (020)",110,40,9,3,59
"Asháninka (021)",18,8,2,4,7
"Otra lengua nativa (022)",64,11,14,7,33
"Castellano (023)",51286,12289,11004,2961,25140
"Idioma Extranjero (024)",34,,2,16,16
"Es Sordomudo/a (025)",113,44,6,2,61
,,,,,
"URBANA (027)",152369,34556,27373,8882,81961
"Quechua (028)",54245,13780,6836,1922,31799
"Aymara (029)",179,34,15,10,123
"Asháninka (030)",38,10,3,9,18
"Otra lengua nativa (031)",111,13,29,9,60
"Castellano (032)",97595,20684,20473,6890,49854
"Idioma Extranjero (033)",72,1,3,38,30
"Es Sordomudo/a (034)",129,34,14,4,77
"Hombres (036)",73936,15441,12954,5078,40735
"Quechua (037)",25133,5570,3367,1088,15179
"Aymara (038)",94,15,6,7,68
"Asháninka (039)",23,4,2,6,11
"Otra lengua nativa (040)",53,6,15,3,29
"Castellano (041)",48528,9827,9555,3950,25395
"Idioma Extranjero (042)",38,1,1,22,14
"Es Sordomudo/a (043)",67,18,8,2,39
"Mujeres (045)",78433,19115,14419,3804,41226
"Quechua (046)",29112,8210,3469,834,16620
"Aymara (047)",85,19,9,3,55
"Asháninka (048)",15,6,1,3,7
"Otra lengua nativa (049)",58,7,14,6,31
"Castellano (050)",49067,10857,10918,2940,24459
"Idioma Extranjero (051)",34,,2,16,16
"Es Sordomudo/a (052)",62,16,6,2,38
,,,,,
"RURAL (054)",55400,38977,654,191,15600
"Quechua (055)",50399,35850,468,134,13966
"Aymara (056)",44,33,,,11
"Asháninka (057)",4,3,1,1,
"Otra lengua nativa (058)",7,5,,1,2
"Castellano (059)",4857,3035,185,55,1583
"Es Sordomudo/a (061)",89,51,,,38
"Hombres (063)",27108,18354,354,110,8303
"Quechua (064)",24411,16714,255,76,7379
"Aymara (065)",19,12,,,7
"Asháninka (066)",1,1,,,
"Otra lengua nativa (067)",1,1,,,
"Castellano (068)",2638,1603,99,34,902
"Es Sordomudo/a (070)",38,23,,,15
"Mujeres (072)",28292,20623,300,81,7297
"Quechua (073)",25988,19136,213,58,6587
"Aymara (074)",25,21,,,4
"Asháninka (075)",3,2,1,1,
"Otra lengua nativa (076)",6,4,,1,2
"Castellano (077)",2219,1432,86,21,681
"Es Sordomudo/a (079)",51,28,,,23
