"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia HUAYLAS",,,,,,,,,
"Viviendas particulares (001)",12729,2005,4273,2764,1934,748,511,194,300
"Ocupantes presentes (002)",53368,6827,17430,12098,8550,3543,2429,992,1499
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",12527,1908,4222,2737,1913,747,510,193,297
"Ocupantes presentes (005)",52604,6539,17203,11966,8469,3539,2423,989,1476
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",28,12,2,4,9,,,,1
"Ocupantes presentes (008)",99,36,7,21,28,,,,7
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",45,26,11,4,,,1,1,2
"Ocupantes presentes (011)",153,76,34,18,,,6,3,16
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",45,22,11,8,4,,,,
"Ocupantes presentes (014)",172,52,55,44,21,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",73,30,25,10,7,1,,,
"Ocupantes presentes (017)",316,111,127,46,28,4,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,,1,,,,,,
"Ocupantes presentes (020)",1,,1,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",8,5,1,1,1,,,,
"Ocupantes presentes (023)",21,11,3,3,4,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,2,,,,,,,
"Ocupantes presentes (026)",2,2,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4224,647,908,859,752,410,302,132,214
"Ocupantes presentes (029)",17187,2074,3400,3582,3094,1931,1423,672,1011
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4103,586,883,842,739,410,301,131,211
"Ocupantes presentes (032)",16755,1906,3303,3496,3045,1931,1417,669,988
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",28,12,2,4,9,,,,1
"Ocupantes presentes (035)",99,36,7,21,28,,,,7
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",45,26,11,4,,,1,1,2
"Ocupantes presentes (038)",153,76,34,18,,,6,3,16
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",45,22,11,8,4,,,,
"Ocupantes presentes (041)",172,52,55,44,21,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,,1,,,,,,
"Ocupantes presentes (047)",1,,1,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,1,,1,,,,,
"Ocupantes presentes (050)",7,4,,3,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",8505,1358,3365,1905,1182,338,209,62,86
"Ocupantes presentes (056)",36181,4753,14030,8516,5456,1612,1006,320,488
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",8424,1322,3339,1895,1174,337,209,62,86
"Ocupantes presentes (059)",35849,4633,13900,8470,5424,1608,1006,320,488
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",73,30,25,10,7,1,,,
"Ocupantes presentes (071)",316,111,127,46,28,4,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",6,4,1,,1,,,,
"Ocupantes presentes (077)",14,7,3,,4,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",2,2,,,,,,,
"Ocupantes presentes (080)",2,2,,,,,,,
