"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AYABACA (000)",31907,310,14477,9802,2651,885,364,102,22,,3294
"Catolica (001)",28071,282,12672,8613,2340,811,325,90,18,,2920
"Cristiana / Evangelica (002)",3309,21,1553,1045,269,66,32,11,3,,309
"Otra (003)",291,1,141,77,25,5,5,1,1,,35
"Ninguna (004)",236,6,111,67,17,3,2,,,,30
,,,,,,,,,,,
"URBANA (006)",4164,32,1436,1342,536,221,90,22,3,,482
"Catolica (007)",3799,30,1291,1222,496,208,84,20,2,,446
"Cristiana / Evangelica (008)",294,2,108,104,36,12,3,2,1,,26
"Otra (009)",57,,29,13,4,1,2,,,,8
"Ninguna (010)",14,,8,3,,,1,,,,2
,,,,,,,,,,,
"RURAL (012)",27743,278,13041,8460,2115,664,274,80,19,,2812
"Catolica (013)",24272,252,11381,7391,1844,603,241,70,16,,2474
"Cristiana / Evangelica (014)",3015,19,1445,941,233,54,29,9,2,,283
"Otra (015)",234,1,112,64,21,4,3,1,1,,27
"Ninguna (016)",222,6,103,64,17,3,1,,,,28
