"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TOCACHE (000)",16327,428,7511,4727,1320,457,209,59,8,,1608
"Catolica (001)",9098,213,3927,2715,853,284,125,27,2,,952
"Cristiana / Evangelica (002)",5319,156,2589,1534,331,139,73,29,5,,463
"Otra (003)",715,20,340,211,64,16,5,1,1,,57
"Ninguna (004)",1195,39,655,267,72,18,6,2,,,136
,,,,,,,,,,,
"URBANA (006)",8790,176,3688,2652,842,321,139,41,5,,926
"Catolica (007)",5348,86,2116,1654,580,215,89,19,1,,588
"Cristiana / Evangelica (008)",2546,69,1132,772,185,85,42,20,3,,238
"Otra (009)",420,10,187,118,47,10,5,1,1,,41
"Ninguna (010)",476,11,253,108,30,11,3,1,,,59
,,,,,,,,,,,
"RURAL (012)",7537,252,3823,2075,478,136,70,18,3,,682
"Catolica (013)",3750,127,1811,1061,273,69,36,8,1,,364
"Cristiana / Evangelica (014)",2773,87,1457,762,146,54,31,9,2,,225
"Otra (015)",295,10,153,93,17,6,,,,,16
"Ninguna (016)",719,28,402,159,42,7,3,1,,,77
