"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ZARUMILLA (000)",41054,913,12047,12710,8711,5229,1444
"Hombres (001)",21695,458,6183,6721,4604,2925,804
"Mujeres (002)",19359,455,5864,5989,4107,2304,640
"Viviendas particulares (003)",39616,912,12025,11790,8383,5067,1439
"Hombres (004)",20362,457,6173,5852,4307,2774,799
"Mujeres (005)",19254,455,5852,5938,4076,2293,640
"Viviendas colectivas (006)",1076,1,16,812,187,59,1
"Hombres (007)",1015,1,6,785,166,56,1
"Mujeres (008)",61,,10,27,21,3,
"Otro tipo (009)",362,,6,108,141,103,4
"Hombres (010)",318,,4,84,131,95,4
"Mujeres (011)",44,,2,24,10,8,
,,,,,,,
"URBANA (012)",37347,822,10957,11610,7983,4732,1243
"Hombres (013)",19668,414,5620,6134,4191,2634,675
"Mujeres (014)",17679,408,5337,5476,3792,2098,568
"Viviendas particulares (015)",35909,821,10935,10690,7655,4570,1238
"Hombres (016)",18335,413,5610,5265,3894,2483,670
"Mujeres (017)",17574,408,5325,5425,3761,2087,568
"Viviendas colectivas (018)",1076,1,16,812,187,59,1
"Hombres (019)",1015,1,6,785,166,56,1
"Mujeres (020)",61,,10,27,21,3,
"Otro tipo (021)",362,,6,108,141,103,4
"Hombres (022)",318,,4,84,131,95,4
"Mujeres (023)",44,,2,24,10,8,
,,,,,,,
"RURAL (024)",3707,91,1090,1100,728,497,201
"Hombres (025)",2027,44,563,587,413,291,129
"Mujeres (026)",1680,47,527,513,315,206,72
"Viviendas particulares (027)",3707,91,1090,1100,728,497,201
"Hombres (028)",2027,44,563,587,413,291,129
"Mujeres (029)",1680,47,527,513,315,206,72
