"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCABAMBA (000)",115535,45485,5291,769,64048
"Quechua (001)",53,10,16,4,25
"Aymara (002)",16,9,2,3,4
"Asháninka (003)",7,7,,,
"Otra lengua nativa (004)",87,19,19,,49
"Castellano (005)",115123,45372,5253,761,63791
"Idioma Extranjero (006)",1,,,1,
"Es Sordomudo/a (007)",248,68,1,,179
"Hombres (009)",57923,21643,2697,449,33167
"Quechua (010)",28,5,11,3,11
"Aymara (011)",9,3,2,2,3
"Asháninka (012)",6,6,,,
"Otra lengua nativa (013)",39,8,8,,23
"Castellano (014)",57708,21587,2676,443,33032
"Idioma Extranjero (015)",1,,,1,
"Es Sordomudo/a (016)",132,34,,,98
"Mujeres (018)",57612,23842,2594,320,30881
"Quechua (019)",25,5,5,1,14
"Aymara (020)",7,6,,1,1
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",48,11,11,,26
"Castellano (023)",57415,23785,2577,318,30759
"Es Sordomudo/a (025)",116,34,1,,81
,,,,,
"URBANA (027)",14551,2961,3155,482,7978
"Quechua (028)",20,,11,2,8
"Aymara (029)",4,1,2,2,
"Otra lengua nativa (031)",77,18,19,,40
"Castellano (032)",14432,2939,3123,477,7916
"Idioma Extranjero (033)",1,,,1,
"Es Sordomudo/a (034)",17,3,,,14
"Hombres (036)",7153,1427,1534,282,3927
"Quechua (037)",11,,6,2,4
"Aymara (038)",3,,2,2,
"Otra lengua nativa (040)",34,8,8,,18
"Castellano (041)",7095,1417,1518,277,3898
"Idioma Extranjero (042)",1,,,1,
"Es Sordomudo/a (043)",9,2,,,7
"Mujeres (045)",7398,1534,1621,200,4051
"Quechua (046)",9,,5,,4
"Aymara (047)",1,1,,,
"Otra lengua nativa (049)",43,10,11,,22
"Castellano (050)",7337,1522,1605,200,4018
"Es Sordomudo/a (052)",8,1,,,7
,,,,,
"RURAL (054)",100984,42524,2136,287,56070
"Quechua (055)",33,10,5,2,17
"Aymara (056)",12,8,,1,4
"Asháninka (057)",7,7,,,
"Otra lengua nativa (058)",10,1,,,9
"Castellano (059)",100691,42433,2130,284,55875
"Es Sordomudo/a (061)",231,65,1,,165
"Hombres (063)",50770,20216,1163,167,29240
"Quechua (064)",17,5,5,1,7
"Aymara (065)",6,3,,,3
"Asháninka (066)",6,6,,,
"Otra lengua nativa (067)",5,,,,5
"Castellano (068)",50613,20170,1158,166,29134
"Es Sordomudo/a (070)",123,32,,,91
"Mujeres (072)",50214,22308,973,120,26830
"Quechua (073)",16,5,,1,10
"Aymara (074)",6,5,,1,1
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",5,1,,,4
"Castellano (077)",50078,22263,972,118,26741
"Es Sordomudo/a (079)",108,33,1,,74
