"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUARAL (000)",46317,500,15584,14743,5689,2217,933,253,47,,6351
"Conviviente (001)",16589,217,6671,5484,1715,542,236,65,8,,1651
"Separado(a) (002)",3609,53,1323,1215,461,193,102,16,3,,243
"Casado(a) (003)",17089,143,5447,5996,2694,1069,425,109,23,,1183
"Viudo(a) (004)",3408,54,1270,1075,357,164,78,40,6,,364
"Divorciado(a) (005)",251,1,80,93,40,12,3,3,,,19
"Soltero(a) (006)",5371,32,793,880,422,237,89,20,7,,2891
,,,,,,,,,,,
"URBANA (008)",39140,402,12752,12454,4888,1924,843,222,42,,5613
"Conviviente (009)",13638,169,5363,4530,1433,467,206,53,5,,1412
"Separado(a) (010)",3179,45,1152,1094,401,161,92,14,2,,218
"Casado(a) (011)",14536,114,4461,5103,2357,943,394,97,22,,1045
"Viudo(a) (012)",2841,49,1025,887,300,143,70,36,6,,325
"Divorciado(a) (013)",234,1,69,88,39,12,3,3,,,19
"Soltero(a) (014)",4712,24,682,752,358,198,78,19,7,,2594
,,,,,,,,,,,
"RURAL (016)",7177,98,2832,2289,801,293,90,31,5,,738
"Conviviente (017)",2951,48,1308,954,282,75,30,12,3,,239
"Separado(a) (018)",430,8,171,121,60,32,10,2,1,,25
"Casado(a) (019)",2553,29,986,893,337,126,31,12,1,,138
"Viudo(a) (020)",567,5,245,188,57,21,8,4,,,39
"Divorciado(a) (021)",17,,11,5,1,,,,,,
"Soltero(a) (022)",659,8,111,128,64,39,11,1,,,297
