"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CUSCO (000)",357236,5649,96011,109774,75548,51119,19135
"Casa independiente (001)",282743,4361,76145,85881,59169,41473,15714
"Departamento en edificio (002)",20399,319,4810,5820,5064,3342,1044
"Vivienda en quinta (003)",16408,264,4306,5489,3538,2074,737
"Vivienda en casa de vecindad (004)",35581,666,10032,12022,7344,3991,1526
"Choza o cabaña (005)",1046,20,439,180,179,141,87
"Vivienda improvisada (006)",278,4,76,75,70,45,8
"Local no destinado para hab.humana (007)",420,4,102,154,113,32,15
"Otro tipo (008)",361,11,101,153,71,21,4
,,,,,,,
"URBANA (009)",341229,5359,90111,106004,72301,49132,18322
"Casa independiente (010)",267790,4091,70688,82293,56103,39627,14988
"Departamento en edificio (011)",20399,319,4810,5820,5064,3342,1044
"Vivienda en quinta (012)",16408,264,4306,5489,3538,2074,737
"Vivienda en casa de vecindad (013)",35581,666,10032,12022,7344,3991,1526
"Vivienda improvisada (015)",278,4,76,75,70,45,8
"Local no destinado para hab.humana (016)",412,4,98,152,111,32,15
"Otro tipo (017)",361,11,101,153,71,21,4
,,,,,,,
"RURAL (018)",16007,290,5900,3770,3247,1987,813
"Casa independiente (019)",14953,270,5457,3588,3066,1846,726
"Choza o cabaña (023)",1046,20,439,180,179,141,87
"Local no destinado para hab.humana (025)",8,,4,2,2,,
