"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PALLASCA (000)",7379,75,3014,2536,696,269,109,49,5,,626
"Sin Nivel (001)",2397,30,973,808,233,95,42,23,3,,190
"Educación Inicial (002)",9,,5,2,,,,,,,2
"Primaria (003)",3051,38,1352,1073,224,84,40,19,2,,219
"Secundaria (004)",1183,5,550,381,82,32,4,4,,,125
"Sup. no Univ. Incompleta (005)",106,1,21,59,14,1,1,,,,9
"Sup. no Univ. Completa (006)",224,,48,84,50,20,4,2,,,16
"Sup. Univ. Incompleta (007)",113,,31,38,15,4,4,,,,21
"Sup. Univ. Completa (008)",296,1,34,91,78,33,14,1,,,44
,,,,,,,,,,,
"URBANA (010)",3992,41,1532,1376,426,168,71,30,4,,344
"Sin Nivel (011)",1170,15,457,385,117,58,21,15,2,,100
"Educación Inicial (012)",1,,,,,,,,,,1
"Primaria (013)",1495,22,631,531,129,43,28,9,2,,100
"Secundaria (014)",765,2,343,252,59,23,4,4,,,78
"Sup. no Univ. Incompleta (015)",82,1,15,46,12,,1,,,,7
"Sup. no Univ. Completa (016)",176,,35,65,40,17,4,1,,,14
"Sup. Univ. Incompleta (017)",92,,24,34,12,3,2,,,,17
"Sup. Univ. Completa (018)",211,1,27,63,57,24,11,1,,,27
,,,,,,,,,,,
"RURAL (020)",3387,34,1482,1160,270,101,38,19,1,,282
"Sin Nivel (021)",1227,15,516,423,116,37,21,8,1,,90
"Educación Inicial (022)",8,,5,2,,,,,,,1
"Primaria (023)",1556,16,721,542,95,41,12,10,,,119
"Secundaria (024)",418,3,207,129,23,9,,,,,47
"Sup. no Univ. Incompleta (025)",24,,6,13,2,1,,,,,2
"Sup. no Univ. Completa (026)",48,,13,19,10,3,,1,,,2
"Sup. Univ. Incompleta (027)",21,,7,4,3,1,2,,,,4
"Sup. Univ. Completa (028)",85,,7,28,21,9,3,,,,17
