"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANGARAES (000)",13251,113,5504,3993,1000,301,113,50,9,,2168
"Sin Nivel (001)",5331,53,2210,1670,427,132,61,32,5,,741
"Educación Inicial (002)",43,,18,10,4,1,,,,,10
"Primaria (003)",5067,37,2354,1519,290,92,31,15,2,,727
"Secundaria (004)",1916,20,787,519,128,25,6,2,1,,428
"Sup. no Univ. Incompleta (005)",165,,31,58,13,4,1,,,,58
"Sup. no Univ. Completa (006)",207,2,23,66,45,13,3,,1,,54
"Sup. Univ. Incompleta (007)",156,1,36,42,15,1,2,,,,59
"Sup. Univ. Completa (008)",366,,45,109,78,33,9,1,,,91
,,,,,,,,,,,
"URBANA (010)",4110,40,1502,1206,391,135,43,28,5,,760
"Sin Nivel (011)",1060,14,404,302,97,36,11,14,2,,180
"Educación Inicial (012)",10,,5,1,1,1,,,,,2
"Primaria (013)",1425,12,649,412,89,41,13,12,1,,196
"Secundaria (014)",892,11,338,253,74,13,4,1,1,,197
"Sup. no Univ. Incompleta (015)",108,,20,44,9,2,1,,,,32
"Sup. no Univ. Completa (016)",161,2,14,57,37,11,3,,1,,36
"Sup. Univ. Incompleta (017)",131,1,33,39,14,1,2,,,,41
"Sup. Univ. Completa (018)",323,,39,98,70,30,9,1,,,76
,,,,,,,,,,,
"RURAL (020)",9141,73,4002,2787,609,166,70,22,4,,1408
"Sin Nivel (021)",4271,39,1806,1368,330,96,50,18,3,,561
"Educación Inicial (022)",33,,13,9,3,,,,,,8
"Primaria (023)",3642,25,1705,1107,201,51,18,3,1,,531
"Secundaria (024)",1024,9,449,266,54,12,2,1,,,231
"Sup. no Univ. Incompleta (025)",57,,11,14,4,2,,,,,26
"Sup. no Univ. Completa (026)",46,,9,9,8,2,,,,,18
"Sup. Univ. Incompleta (027)",25,,3,3,1,,,,,,18
"Sup. Univ. Completa (028)",43,,6,11,8,3,,,,,15
