"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCAYO (000)",440937,29669,83488,19174,310071
"Sin Nivel (001)",39625,5013,5343,982,28348
"Educación Inicial (002)",11846,2141,2339,484,6924
"Primaria (003)",121156,12833,19391,3593,85546
"Secundaria (004)",146205,7458,21724,4782,112502
"Sup. no Univ. Incompleta (005)",23470,545,2704,1309,18963
"Sup. no Univ. Completa (006)",26980,514,7998,1990,16628
"Sup. Univ. Incompleta (007)",28535,450,4415,2091,21706
"Sup. Univ. Completa (008)",43120,715,19574,3943,19454
"Hombres (010)",209737,13971,39009,10896,146744
"Sin Nivel (011)",13925,2443,1982,411,9115
"Educación Inicial (012)",6002,1067,1214,249,3493
"Primaria (013)",54168,6141,8926,1760,37453
"Secundaria (014)",75407,3342,10603,2786,58843
"Sup. no Univ. Incompleta (015)",11516,212,1309,875,9162
"Sup. no Univ. Completa (016)",11507,164,3180,1233,7018
"Sup. Univ. Incompleta (017)",15297,223,2211,1278,11652
"Sup. Univ. Completa (018)",21915,379,9584,2304,10008
"Mujeres (020)",231200,15698,44479,8278,163327
"Sin Nivel (021)",25700,2570,3361,571,19233
"Educación Inicial (022)",5844,1074,1125,235,3431
"Primaria (023)",66988,6692,10465,1833,48093
"Secundaria (024)",70798,4116,11121,1996,53659
"Sup. no Univ. Incompleta (025)",11954,333,1395,434,9801
"Sup. no Univ. Completa (026)",15473,350,4818,757,9610
"Sup. Univ. Incompleta (027)",13238,227,2204,813,10054
"Sup. Univ. Completa (028)",21205,336,9990,1639,9446
,,,,,
"URBANA (030)",390029,20377,80653,18232,272199
"Sin Nivel (031)",31524,3234,4995,877,22478
"Educación Inicial (032)",10444,1461,2274,451,6298
"Primaria (033)",99183,7958,18399,3209,69811
"Secundaria (034)",130718,5597,20925,4511,99939
"Sup. no Univ. Incompleta (035)",22250,510,2616,1279,17895
"Sup. no Univ. Completa (036)",25987,490,7827,1948,15868
"Sup. Univ. Incompleta (037)",27724,441,4334,2061,21013
"Sup. Univ. Completa (038)",42199,686,19283,3896,18897
"Hombres (040)",184931,9519,37540,10391,128343
"Sin Nivel (041)",11170,1598,1846,373,7379
"Educación Inicial (042)",5337,754,1184,236,3183
"Primaria (043)",43738,3797,8418,1569,30061
"Secundaria (044)",66586,2432,10162,2624,51529
"Sup. no Univ. Incompleta (045)",10888,201,1261,853,8614
"Sup. no Univ. Completa (046)",11006,158,3089,1202,6642
"Sup. Univ. Incompleta (047)",14827,217,2165,1261,11249
"Sup. Univ. Completa (048)",21379,362,9415,2273,9686
"Mujeres (050)",205098,10858,43113,7841,143856
"Sin Nivel (051)",20354,1636,3149,504,15099
"Educación Inicial (052)",5107,707,1090,215,3115
"Primaria (053)",55445,4161,9981,1640,39750
"Secundaria (054)",64132,3165,10763,1887,48410
"Sup. no Univ. Incompleta (055)",11362,309,1355,426,9281
"Sup. no Univ. Completa (056)",14981,332,4738,746,9226
"Sup. Univ. Incompleta (057)",12897,224,2169,800,9764
"Sup. Univ. Completa (058)",20820,324,9868,1623,9211
,,,,,
"RURAL (060)",50908,9292,2835,942,37872
"Sin Nivel (061)",8101,1779,348,105,5870
"Educación Inicial (062)",1402,680,65,33,626
"Primaria (063)",21973,4875,992,384,15735
"Secundaria (064)",15487,1861,799,271,12563
"Sup. no Univ. Incompleta (065)",1220,35,88,30,1068
"Sup. no Univ. Completa (066)",993,24,171,42,760
"Sup. Univ. Incompleta (067)",811,9,81,30,693
"Sup. Univ. Completa (068)",921,29,291,47,557
"Hombres (070)",24806,4452,1469,505,18401
"Sin Nivel (071)",2755,845,136,38,1736
"Educación Inicial (072)",665,313,30,13,310
"Primaria (073)",10430,2344,508,191,7392
"Secundaria (074)",8821,910,441,162,7314
"Sup. no Univ. Incompleta (075)",628,11,48,22,548
"Sup. no Univ. Completa (076)",501,6,91,31,376
"Sup. Univ. Incompleta (077)",470,6,46,17,403
"Sup. Univ. Completa (078)",536,17,169,31,322
"Mujeres (080)",26102,4840,1366,437,19471
"Sin Nivel (081)",5346,934,212,67,4134
"Educación Inicial (082)",737,367,35,20,316
"Primaria (083)",11543,2531,484,193,8343
"Secundaria (084)",6666,951,358,109,5249
"Sup. no Univ. Incompleta (085)",592,24,40,8,520
"Sup. no Univ. Completa (086)",492,18,80,11,384
"Sup. Univ. Incompleta (087)",341,3,35,13,290
"Sup. Univ. Completa (088)",385,12,122,16,235
