"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAURICOCHA (000)",9358,6773,566,299,1720
"Sin nivel (001)",548,526,19,3,
"Educación inicial (002)",8,6,2,,
"Primaria (003)",3326,2972,196,29,129
"Secundaria (004)",3813,2716,212,87,798
"Superior no univ. incompleta (005)",321,172,19,16,114
"Superior no univ. completa (006)",603,172,49,70,312
"Superior univ. incompleta (007)",166,77,15,8,66
"Superior univ. completa (008)",573,132,54,86,301
"De 06 a 14 años (010)",234,216,18,,
"Sin nivel (011)",27,27,,,
"Educación inicial (012)",4,3,1,,
"Primaria (013)",154,141,13,,
"Secundaria (014)",49,45,4,,
"De 15 a 29 años (020)",2759,1900,186,85,588
"Sin nivel (021)",90,87,2,1,
"Educación inicial (022)",1,,1,,
"Primaria (023)",538,470,45,10,13
"Secundaria (024)",1576,1151,97,41,287
"Superior no univ. incompleta (025)",132,66,6,6,54
"Superior no univ. completa (026)",222,61,15,17,129
"Superior univ. incompleta (027)",64,29,10,1,24
"Superior univ. completa (028)",136,36,10,9,81
"De 30 a 44 años (030)",3317,2221,198,115,783
"Sin nivel (031)",139,130,8,1,
"Educación inicial (032)",3,3,,,
"Primaria (033)",1001,877,62,10,52
"Secundaria (034)",1438,960,68,26,384
"Superior no univ. incompleta (035)",142,78,10,6,48
"Superior no univ. completa (036)",271,85,23,30,133
"Superior univ. incompleta (037)",72,30,3,3,36
"Superior univ. completa (038)",251,58,24,39,130
"De 45 a 64 años (040)",2316,1752,131,95,338
"Sin nivel (041)",188,180,7,1,
"Primaria (043)",1080,966,49,5,60
"Secundaria (044)",691,506,41,20,124
"Superior no univ. incompleta (045)",40,23,3,4,10
"Superior no univ. completa (046)",109,26,11,23,49
"Superior univ. incompleta (047)",28,16,2,4,6
"Superior univ. completa (048)",180,35,18,38,89
"De 65 y más años (050)",732,684,33,4,11
"Sin nivel (051)",104,102,2,,
"Primaria (053)",553,518,27,4,4
"Secundaria (054)",59,54,2,,3
"Superior no univ. incompleta (055)",7,5,,,2
"Superior no univ. completa (056)",1,,,,1
"Superior univ. incompleta (057)",2,2,,,
"Superior univ. completa (058)",6,3,2,,1
,,,,,
"URBANA (060)",2146,1527,164,135,320
"Sin nivel (061)",62,60,2,,
