"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",10201,6931,1026,1025,1219
"Empleado (001)",1769,366,330,428,645
"Obrero (002)",2683,1079,472,560,572
"Trabajador independiente (003)",3792,3636,156,,
"Empleador o patrono (004)",64,49,10,5,
"Trabajador familiar no remunerado (005)",1838,1746,58,32,2
"Trabajador del hogar (006)",55,55,,,
"De 06 a 14 años (008)",136,125,5,6,
"Obrero (010)",11,10,,1,
"Trabajador independiente (011)",3,3,,,
"Trabajador familiar no remunerado (013)",120,110,5,5,
"Trabajador del hogar (014)",2,2,,,
"De 15 a 29 años (016)",2839,1761,318,319,441
"Empleado (017)",526,141,73,103,209
"Obrero (018)",998,385,178,204,231
"Trabajador independiente (019)",634,597,37,,
"Empleador o patrono (020)",10,6,3,1,
"Trabajador familiar no remunerado (021)",632,593,27,11,1
"Trabajador del hogar (022)",39,39,,,
"De 30 a 44 años (024)",3407,1990,392,472,553
"Empleado (025)",914,167,175,257,315
"Obrero (026)",894,298,151,207,238
"Trabajador independiente (027)",1092,1034,58,,
"Empleador o patrono (028)",16,14,,2,
"Trabajador familiar no remunerado (029)",486,472,8,6,
"Trabajador del hogar (030)",5,5,,,
"De 45 a 64 años (032)",2585,1930,254,194,207
"Empleado (033)",313,55,79,66,113
"Obrero (034)",603,278,111,121,93
"Trabajador independiente (035)",1277,1230,47,,
"Empleador o patrono (036)",22,14,6,2,
"Trabajador familiar no remunerado (037)",366,349,11,5,1
"Trabajador del hogar (038)",4,4,,,
"De 65 y más años (040)",1234,1125,57,34,18
"Empleado (041)",16,3,3,2,8
"Obrero (042)",177,108,32,27,10
"Trabajador independiente (043)",786,772,14,,
"Empleador o patrono (044)",16,15,1,,
"Trabajador familiar no remunerado (045)",234,222,7,5,
"Trabajador del hogar (046)",5,5,,,
,,,,,
"URBANA (048)",4643,3077,528,558,480
"Empleado (049)",1127,233,203,313,378
"Obrero (050)",1096,554,202,240,100
"Trabajador independiente (051)",1581,1500,81,,
"Empleador o patrono (052)",40,32,7,1,
"Trabajador familiar no remunerado (053)",757,716,35,4,2
"Trabajador del hogar (054)",42,42,,,
"De 06 a 14 años (056)",50,48,2,,
"Obrero (058)",5,5,,,
