"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CANCHIS (000)",91638,4470,24666,17177,12613,11661,8414,5562,7075
"Quechua (001)",53695,1521,9715,7904,8105,8865,6681,4679,6225
"Aymara (002)",107,5,16,12,6,32,23,4,9
"Ashaninca (003)",5,,1,2,2,,,,
"Otra lengua nativa (004)",7,,1,5,,,,,1
"Castellano (005)",37702,2937,14894,9228,4479,2751,1703,875,835
"Idioma extranjero (006)",2,,,,,1,,,1
"Es sordomudo/a (007)",120,7,39,26,21,12,7,4,4
"Hombres (009)",44327,2281,12594,8501,5822,5460,4093,2593,2983
"Quechua (010)",24684,771,4863,3839,3523,3994,3139,2054,2501
"Aymara (011)",55,1,9,3,3,16,13,4,6
"Ashaninca (012)",2,,1,,1,,,,
"Otra lengua nativa (013)",1,,1,,,,,,
"Castellano (014)",19535,1506,7703,4649,2284,1445,941,533,474
"Idioma extranjero (015)",2,,,,,1,,,1
"Es sordomudo/a (016)",48,3,17,10,11,4,,2,1
"Mujeres (018)",47311,2189,12072,8676,6791,6201,4321,2969,4092
"Quechua (019)",29011,750,4852,4065,4582,4871,3542,2625,3724
"Aymara (020)",52,4,7,9,3,16,10,,3
"Ashaninca (021)",3,,,2,1,,,,
"Otra lengua nativa (022)",6,,,5,,,,,1
"Castellano (023)",18167,1431,7191,4579,2195,1306,762,342,361
"Es sordomudo/a (025)",72,4,22,16,10,8,7,2,3
,,,,,,,,,
"URBANA (027)",55187,2583,14898,11166,8321,7382,4920,2829,3088
"Quechua (028)",23171,313,2803,3344,4307,4765,3292,2012,2335
"Aymara (029)",71,1,11,7,4,22,17,4,5
"Ashaninca (030)",3,,,2,1,,,,
"Otra lengua nativa (031)",5,,,5,,,,,
"Castellano (032)",31872,2266,12053,7795,4001,2591,1608,812,746
"Idioma extranjero (033)",2,,,,,1,,,1
"Es sordomudo/a (034)",63,3,31,13,8,3,3,1,1
"Hombres (036)",26784,1309,7644,5519,3801,3470,2394,1362,1285
"Quechua (037)",10396,161,1419,1632,1808,2108,1517,873,878
"Aymara (038)",44,,7,2,2,13,12,4,4
"Ashaninca (039)",1,,,,1,,,,
"Castellano (041)",16318,1145,6205,3881,1988,1347,865,485,402
"Idioma extranjero (042)",2,,,,,1,,,1
"Es sordomudo/a (043)",23,3,13,4,2,1,,,
"Mujeres (045)",28403,1274,7254,5647,4520,3912,2526,1467,1803
"Quechua (046)",12775,152,1384,1712,2499,2657,1775,1139,1457
"Aymara (047)",27,1,4,5,2,9,5,,1
"Ashaninca (048)",2,,,2,,,,,
"Otra lengua nativa (049)",5,,,5,,,,,
"Castellano (050)",15554,1121,5848,3914,2013,1244,743,327,344
"Es sordomudo/a (052)",40,,18,9,6,2,3,1,1
,,,,,,,,,
"RURAL (054)",36451,1887,9768,6011,4292,4279,3494,2733,3987
"Quechua (055)",30524,1208,6912,4560,3798,4100,3389,2667,3890
"Aymara (056)",36,4,5,5,2,10,6,,4
"Ashaninca (057)",2,,1,,1,,,,
"Otra lengua nativa (058)",2,,1,,,,,,1
"Castellano (059)",5830,671,2841,1433,478,160,95,63,89
"Es sordomudo/a (061)",57,4,8,13,13,9,4,3,3
"Hombres (063)",17543,972,4950,2982,2021,1990,1699,1231,1698
"Quechua (064)",14288,610,3444,2207,1715,1886,1622,1181,1623
"Aymara (065)",11,1,2,1,1,3,1,,2
"Ashaninca (066)",1,,1,,,,,,
"Otra lengua nativa (067)",1,,1,,,,,,
"Castellano (068)",3217,361,1498,768,296,98,76,48,72
"Es sordomudo/a (070)",25,,4,6,9,3,,2,1
"Mujeres (072)",18908,915,4818,3029,2271,2289,1795,1502,2289
"Quechua (073)",16236,598,3468,2353,2083,2214,1767,1486,2267
"Aymara (074)",25,3,3,4,1,7,5,,2
"Ashaninca (075)",1,,,,1,,,,
"Otra lengua nativa (076)",1,,,,,,,,1
"Castellano (077)",2613,310,1343,665,182,62,19,15,17
"Es sordomudo/a (079)",32,4,4,7,4,6,4,1,2
