"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia LAURICOCHA (000)",7866,1739,6127
"Red pública dentro de la vivienda (001)",703,502,201
"Red pública fuera de la vivienda (002)",1147,714,433
"Pilón de uso público (003)",311,68,243
"Camión - cisterna u otro similar (004)",2,1,1
"Pozo (005)",492,38,454
"Río, acequia, manatial o similar (006)",5014,355,4659
"Vecino (007)",146,43,103
"Otro (008)",51,18,33
,,,
"URBANA (010)",2024,1484,540
"Red pública dentro de la vivienda (011)",592,473,119
"Red pública fuera de la vivienda (012)",845,666,179
"Pilón de uso público (013)",50,35,15
"Camión - cisterna u otro similar (014)",1,1,
"Pozo (015)",33,15,18
"Río, acequia, manatial o similar (016)",373,240,133
"Vecino (017)",96,38,58
"Otro (018)",34,16,18
,,,
"RURAL (020)",5842,255,5587
"Red pública dentro de la vivienda (021)",111,29,82
"Red pública fuera de la vivienda (022)",302,48,254
"Pilón de uso público (023)",261,33,228
"Camión - cisterna u otro similar (024)",1,,1
"Pozo (025)",459,23,436
"Río, acequia, manatial o similar (026)",4641,115,4526
"Vecino (027)",50,5,45
"Otro (028)",17,2,15
