"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PIURA (000)",13701,294,7120,3708,2208,371
"Sin nivel (001)",667,25,109,223,219,91
"Educación inicial (002)",10,,8,2,,
"Primaria (003)",3344,182,1246,967,757,192
"Secundaria (004)",4951,87,2962,1236,626,40
"Superior no univ. incompleta (005)",984,,640,232,101,11
"Superior no univ. completa (006)",1599,,868,520,195,16
"Superior univ. incompleta (007)",852,,615,145,85,7
"Superior univ. completa (008)",1294,,672,383,225,14
"Hombres (010)",9843,204,4705,2759,1838,337
"Sin nivel (011)",505,19,78,167,163,78
"Educación inicial (012)",9,,8,1,,
"Primaria (013)",2769,128,969,823,670,179
"Secundaria (014)",3831,57,2197,999,541,37
"Superior no univ. incompleta (015)",595,,348,159,77,11
"Superior no univ. completa (016)",831,,395,283,139,14
"Superior univ. incompleta (017)",564,,381,98,78,7
"Superior univ. completa (018)",739,,329,229,170,11
"Mujeres (020)",3858,90,2415,949,370,34
"Sin nivel (021)",162,6,31,56,56,13
"Educación inicial (022)",1,,,1,,
"Primaria (023)",575,54,277,144,87,13
"Secundaria (024)",1120,30,765,237,85,3
"Superior no univ. incompleta (025)",389,,292,73,24,
"Superior no univ. completa (026)",768,,473,237,56,2
"Superior univ. incompleta (027)",288,,234,47,7,
"Superior univ. completa (028)",555,,343,154,55,3
,,,,,,
"Area Urbana (030)",12267,201,6348,3350,2042,326
"Sin nivel (031)",482,15,70,156,171,70
"Educación inicial (032)",8,,6,2,,
"Primaria (033)",2663,115,907,805,665,171
"Secundaria (034)",4521,71,2658,1145,609,38
"Superior no univ. incompleta (035)",937,,602,225,100,10
"Superior no univ. completa (036)",1540,,834,502,188,16
"Superior univ. incompleta (037)",838,,607,139,85,7
"Superior univ. completa (038)",1278,,664,376,224,14
"Hombres (040)",8601,127,4072,2425,1683,294
"Sin nivel (041)",349,12,48,108,122,59
"Educación inicial (042)",7,,6,1,,
"Primaria (043)",2172,73,691,669,581,158
"Secundaria (044)",3443,42,1930,911,525,35
"Superior no univ. incompleta (045)",559,,321,152,76,10
"Superior no univ. completa (046)",791,,376,269,132,14
"Superior univ. incompleta (047)",553,,375,93,78,7
"Superior univ. completa (048)",727,,325,222,169,11
"Mujeres (050)",3666,74,2276,925,359,32
"Sin nivel (051)",133,3,22,48,49,11
"Educación inicial (052)",1,,,1,,
"Primaria (053)",491,42,216,136,84,13
"Secundaria (054)",1078,29,728,234,84,3
"Superior no univ. incompleta (055)",378,,281,73,24,
"Superior no univ. completa (056)",749,,458,233,56,2
"Superior univ. incompleta (057)",285,,232,46,7,
"Superior univ. completa (058)",551,,339,154,55,3
,,,,,,
"Area Rural (060)",1434,93,772,358,166,45
"Sin nivel (061)",185,10,39,67,48,21
"Educación inicial (062)",2,,2,,,
"Primaria (063)",681,67,339,162,92,21
"Secundaria (064)",430,16,304,91,17,2
"Superior no univ. incompleta (065)",47,,38,7,1,1
"Superior no univ. completa (066)",59,,34,18,7,
"Superior univ. incompleta (067)",14,,8,6,,
"Superior univ. completa (068)",16,,8,7,1,
"Hombres (070)",1242,77,633,334,155,43
"Sin nivel (071)",156,7,30,59,41,19
"Educación inicial (072)",2,,2,,,
"Primaria (073)",597,55,278,154,89,21
"Secundaria (074)",388,15,267,88,16,2
"Superior no univ. incompleta (075)",36,,27,7,1,1
"Superior no univ. completa (076)",40,,19,14,7,
"Superior univ. incompleta (077)",11,,6,5,,
"Superior univ. completa (078)",12,,4,7,1,
"Mujeres (080)",192,16,139,24,11,2
"Sin nivel (081)",29,3,9,8,7,2
"Primaria (083)",84,12,61,8,3,
"Secundaria (084)",42,1,37,3,1,
"Superior no univ. incompleta (085)",11,,11,,,
"Superior no univ. completa (086)",19,,15,4,,
"Superior univ. incompleta (087)",3,,2,1,,
"Superior univ. completa (088)",4,,4,,,
