"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",9323,8867,2591,1261,1335,966,1233,744,737,456
"Católica (001)",8399,7987,2355,1164,1235,870,1095,635,633,412
"Cristiana/Evangélica (002)",741,710,166,70,78,81,121,105,89,31
"Otra (003)",92,84,24,16,11,6,13,2,12,8
"Ninguna (004)",91,86,46,11,11,9,4,2,3,5
,,,,,,,,,,
"URBANA (006)",4224,4016,1239,632,621,425,502,316,281,208
"Católica (007)",3858,3672,1141,587,578,393,460,270,243,186
"Cristiana/Evangélica (008)",275,263,63,30,31,25,37,44,33,12
"Otra (009)",53,47,19,9,7,3,4,1,4,6
"Ninguna (010)",38,34,16,6,5,4,1,1,1,4
,,,,,,,,,,
"RURAL (012)",5099,4851,1352,629,714,541,731,428,456,248
"Católica (013)",4541,4315,1214,577,657,477,635,365,390,226
"Cristiana/Evangélica (014)",466,447,103,40,47,56,84,61,56,19
"Otra (015)",39,37,5,7,4,3,9,1,8,2
"Ninguna (016)",53,52,30,5,6,5,3,1,2,1
