"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHICLAYO (000)",15217,229,8360,4023,2211,394
"Sin nivel (001)",425,23,99,129,115,59
"Educación inicial (002)",27,5,14,8,,
"Primaria (003)",2413,118,826,661,602,206
"Secundaria (004)",6530,83,3923,1625,827,72
"Superior no univ. incompleta (005)",1048,,707,241,92,8
"Superior no univ. completa (006)",1749,,919,608,210,12
"Superior univ. incompleta (007)",1092,,840,160,81,11
"Superior univ. completa (008)",1933,,1032,591,284,26
"Hombres (010)",10006,158,5119,2630,1752,347
"Sin nivel (011)",283,18,62,82,77,44
"Educación inicial (012)",20,4,9,7,,
"Primaria (013)",1818,85,586,472,491,184
"Secundaria (014)",4672,51,2662,1200,695,64
"Superior no univ. incompleta (015)",600,,373,150,69,8
"Superior no univ. completa (016)",867,,419,301,135,12
"Superior univ. incompleta (017)",673,,500,95,67,11
"Superior univ. completa (018)",1073,,508,323,218,24
"Mujeres (020)",5211,71,3241,1393,459,47
"Sin nivel (021)",142,5,37,47,38,15
"Educación inicial (022)",7,1,5,1,,
"Primaria (023)",595,33,240,189,111,22
"Secundaria (024)",1858,32,1261,425,132,8
"Superior no univ. incompleta (025)",448,,334,91,23,
"Superior no univ. completa (026)",882,,500,307,75,
"Superior univ. incompleta (027)",419,,340,65,14,
"Superior univ. completa (028)",860,,524,268,66,2
,,,,,,
"Area Urbana (030)",14151,188,7767,3759,2067,370
"Sin nivel (031)",364,19,81,114,99,51
"Educación inicial (032)",24,5,12,7,,
"Primaria (033)",2053,88,678,568,524,195
"Secundaria (034)",6003,76,3572,1502,782,71
"Superior no univ. incompleta (035)",1027,,693,237,89,8
"Superior no univ. completa (036)",1692,,884,588,210,10
"Superior univ. incompleta (037)",1082,,833,159,80,10
"Superior univ. completa (038)",1906,,1014,584,283,25
"Hombres (040)",9201,128,4723,2411,1614,325
"Sin nivel (041)",239,15,54,70,62,38
"Educación inicial (042)",17,4,7,6,,
"Primaria (043)",1520,65,473,392,417,173
"Secundaria (044)",4277,44,2425,1094,651,63
"Superior no univ. incompleta (045)",589,,367,148,66,8
"Superior no univ. completa (046)",834,,403,286,135,10
"Superior univ. incompleta (047)",667,,496,95,66,10
"Superior univ. completa (048)",1058,,498,320,217,23
"Mujeres (050)",4950,60,3044,1348,453,45
"Sin nivel (051)",125,4,27,44,37,13
"Educación inicial (052)",7,1,5,1,,
"Primaria (053)",533,23,205,176,107,22
"Secundaria (054)",1726,32,1147,408,131,8
"Superior no univ. incompleta (055)",438,,326,89,23,
"Superior no univ. completa (056)",858,,481,302,75,
"Superior univ. incompleta (057)",415,,337,64,14,
"Superior univ. completa (058)",848,,516,264,66,2
,,,,,,
"Area Rural (060)",1066,41,593,264,144,24
"Sin nivel (061)",61,4,18,15,16,8
"Educación inicial (062)",3,,2,1,,
"Primaria (063)",360,30,148,93,78,11
"Secundaria (064)",527,7,351,123,45,1
"Superior no univ. incompleta (065)",21,,14,4,3,
"Superior no univ. completa (066)",57,,35,20,,2
"Superior univ. incompleta (067)",10,,7,1,1,1
"Superior univ. completa (068)",27,,18,7,1,1
"Hombres (070)",805,30,396,219,138,22
"Sin nivel (071)",44,3,8,12,15,6
"Educación inicial (072)",3,,2,1,,
"Primaria (073)",298,20,113,80,74,11
"Secundaria (074)",395,7,237,106,44,1
"Superior no univ. incompleta (075)",11,,6,2,3,
"Superior no univ. completa (076)",33,,16,15,,2
"Superior univ. incompleta (077)",6,,4,,1,1
"Superior univ. completa (078)",15,,10,3,1,1
"Mujeres (080)",261,11,197,45,6,2
"Sin nivel (081)",17,1,10,3,1,2
"Primaria (083)",62,10,35,13,4,
"Secundaria (084)",132,,114,17,1,
"Superior no univ. incompleta (085)",10,,8,2,,
"Superior no univ. completa (086)",24,,19,5,,
"Superior univ. incompleta (087)",4,,3,1,,
"Superior univ. completa (088)",12,,8,4,,
