"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ZARUMILLA (000)",38204,9002,4013,2047,23227
"Sin Nivel (001)",3112,1217,268,85,1550
"Educación Inicial (002)",1083,511,112,32,431
"Primaria (003)",13496,3735,1099,483,8191
"Secundaria (004)",15014,2943,1351,905,9852
"Sup. no Univ. Incompleta (005)",1680,239,175,90,1181
"Sup. no Univ. Completa (006)",1911,227,501,222,965
"Sup. Univ. Incompleta (007)",795,70,132,69,527
"Sup. Univ. Completa (008)",1113,60,375,161,530
"Hombres (010)",20204,4116,2145,1455,12559
"Sin Nivel (011)",1533,602,139,41,755
"Educación Inicial (012)",565,259,48,22,236
"Primaria (013)",6825,1725,574,290,4245
"Secundaria (014)",8385,1297,778,695,5652
"Sup. no Univ. Incompleta (015)",899,94,98,60,652
"Sup. no Univ. Completa (016)",923,80,241,175,430
"Sup. Univ. Incompleta (017)",442,33,72,44,296
"Sup. Univ. Completa (018)",632,26,195,128,293
"Mujeres (020)",18000,4886,1868,592,10668
"Sin Nivel (021)",1579,615,129,44,795
"Educación Inicial (022)",518,252,64,10,195
"Primaria (023)",6671,2010,525,193,3946
"Secundaria (024)",6629,1646,573,210,4200
"Sup. no Univ. Incompleta (025)",781,145,77,30,529
"Sup. no Univ. Completa (026)",988,147,260,47,535
"Sup. Univ. Incompleta (027)",353,37,60,25,231
"Sup. Univ. Completa (028)",481,34,180,33,237
,,,,,
"URBANA (030)",34775,7569,3880,2019,21388
"Sin Nivel (031)",2725,1009,254,83,1385
"Educación Inicial (032)",973,438,107,32,399
"Primaria (033)",11982,3098,1065,469,7361
"Secundaria (034)",13946,2512,1316,898,9257
"Sup. no Univ. Incompleta (035)",1541,208,166,89,1083
"Sup. no Univ. Completa (036)",1765,186,479,219,885
"Sup. Univ. Incompleta (037)",754,61,127,68,500
"Sup. Univ. Completa (038)",1089,57,366,161,518
"Hombres (040)",18317,3441,2077,1436,11432
"Sin Nivel (041)",1341,505,133,40,667
"Educación Inicial (042)",510,226,47,22,215
"Primaria (043)",5977,1415,553,281,3736
"Secundaria (044)",7782,1101,763,689,5266
"Sup. no Univ. Incompleta (045)",820,78,92,59,596
"Sup. no Univ. Completa (046)",849,63,232,174,383
"Sup. Univ. Incompleta (047)",420,28,69,43,282
"Sup. Univ. Completa (048)",618,25,188,128,287
"Mujeres (050)",16458,4128,1803,583,9956
"Sin Nivel (051)",1384,504,121,43,718
"Educación Inicial (052)",463,212,60,10,184
"Primaria (053)",6005,1683,512,188,3625
"Secundaria (054)",6164,1411,553,209,3991
"Sup. no Univ. Incompleta (055)",721,130,74,30,487
"Sup. no Univ. Completa (056)",916,123,247,45,502
"Sup. Univ. Incompleta (057)",334,33,58,25,218
"Sup. Univ. Completa (058)",471,32,178,33,231
,,,,,
"RURAL (060)",3429,1433,133,28,1839
"Sin Nivel (061)",387,208,14,2,165
"Educación Inicial (062)",110,73,5,,32
"Primaria (063)",1514,637,34,14,830
"Secundaria (064)",1068,431,35,7,595
"Sup. no Univ. Incompleta (065)",139,31,9,1,98
"Sup. no Univ. Completa (066)",146,41,22,3,80
"Sup. Univ. Incompleta (067)",41,9,5,1,27
"Sup. Univ. Completa (068)",24,3,9,,12
"Hombres (070)",1887,675,68,19,1127
"Sin Nivel (071)",192,97,6,1,88
"Educación Inicial (072)",55,33,1,,21
"Primaria (073)",848,310,21,9,509
"Secundaria (074)",603,196,15,6,386
"Sup. no Univ. Incompleta (075)",79,16,6,1,56
"Sup. no Univ. Completa (076)",74,17,9,1,47
"Sup. Univ. Incompleta (077)",22,5,3,1,14
"Sup. Univ. Completa (078)",14,1,7,,6
"Mujeres (080)",1542,758,65,9,712
"Sin Nivel (081)",195,111,8,1,77
"Educación Inicial (082)",55,40,4,,11
"Primaria (083)",666,327,13,5,321
"Secundaria (084)",465,235,20,1,209
"Sup. no Univ. Incompleta (085)",60,15,3,,42
"Sup. no Univ. Completa (086)",72,24,13,2,33
"Sup. Univ. Incompleta (087)",19,4,2,,13
"Sup. Univ. Completa (088)",10,2,2,,6
