"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN MARCOS (000)",13821,245,5476,4169,1309,492,246,73,16,,1795
"Catolica (001)",11514,206,4547,3449,1105,427,212,62,12,,1494
"Cristiana / Evangelica (002)",2149,35,868,669,188,61,32,11,4,,281
"Otra (003)",64,1,21,25,7,2,1,,,,7
"Ninguna (004)",94,3,40,26,9,2,1,,,,13
,,,,,,,,,,,
"URBANA (006)",3328,34,1011,983,419,185,112,37,6,,541
"Catolica (007)",2862,27,884,818,363,167,95,33,5,,470
"Cristiana / Evangelica (008)",394,6,102,137,47,16,16,4,1,,65
"Otra (009)",40,,13,16,5,1,1,,,,4
"Ninguna (010)",32,1,12,12,4,1,,,,,2
,,,,,,,,,,,
"RURAL (012)",10493,211,4465,3186,890,307,134,36,10,,1254
"Catolica (013)",8652,179,3663,2631,742,260,117,29,7,,1024
"Cristiana / Evangelica (014)",1755,29,766,532,141,45,16,7,3,,216
"Otra (015)",24,1,8,9,2,1,,,,,3
"Ninguna (016)",62,2,28,14,5,1,1,,,,11
