"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHICLAYO (000)",271456,180900,27384,26857,36315
"Empleado (001)",88659,31345,12226,18586,26502
"Obrero (002)",51442,25969,8403,7558,9512
"Trabajador independiente (003)",107824,102340,5484,,
"Empleador o patrono (004)",5382,3971,730,471,210
"Trabajador familiar no remunerado (005)",8099,7225,541,242,91
"Trabajador del hogar (006)",10050,10050,,,
"De 06 a 14 años (008)",2927,2519,245,109,54
"Empleado (009)",370,315,32,17,6
"Obrero (010)",548,352,91,61,44
"Trabajador independiente (011)",754,712,42,,
"Empleador o patrono (012)",5,3,2,,
"Trabajador familiar no remunerado (013)",917,804,78,31,4
"Trabajador del hogar (014)",333,333,,,
"De 15 a 29 años (016)",86958,58391,10869,8989,8709
"Empleado (017)",31534,14473,5128,6048,5885
"Obrero (018)",18732,9890,3378,2725,2739
"Trabajador independiente (019)",27482,25524,1958,,
"Empleador o patrono (020)",1184,838,182,117,47
"Trabajador familiar no remunerado (021)",2829,2469,223,99,38
"Trabajador del hogar (022)",5197,5197,,,
"De 30 a 44 años (024)",102007,65411,10099,11099,15398
"Empleado (025)",35058,10694,4684,8032,11648
"Obrero (026)",18187,8749,2981,2814,3643
"Trabajador independiente (027)",41532,39515,2017,,
"Empleador o patrono (028)",2060,1499,286,193,82
"Trabajador familiar no remunerado (029)",2305,2089,131,60,25
"Trabajador del hogar (030)",2865,2865,,,
"De 45 a 64 años (032)",69823,46317,5608,6279,11619
"Empleado (033)",20510,5362,2242,4289,8617
"Obrero (034)",12358,5866,1760,1820,2912
"Trabajador independiente (035)",32064,30762,1302,,
"Empleador o patrono (036)",1779,1348,220,133,78
"Trabajador familiar no remunerado (037)",1629,1496,84,37,12
"Trabajador del hogar (038)",1483,1483,,,
"De 65 y más años (040)",9741,8262,563,381,535
"Empleado (041)",1187,501,140,200,346
"Obrero (042)",1617,1112,193,138,174
"Trabajador independiente (043)",5992,5827,165,,
"Empleador o patrono (044)",354,283,40,28,3
"Trabajador familiar no remunerado (045)",419,367,25,15,12
"Trabajador del hogar (046)",172,172,,,
,,,,,
"URBANA (048)",255583,169300,25471,25744,35068
"Empleado (049)",87527,30909,12013,18395,26210
"Obrero (050)",43008,20664,7119,6661,8564
