"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia DANIEL ALCIDES CARRION (000)",10984,6446,4538
"Red pública dentro de la vivienda (001)",1424,1173,251
"Red pública fuera de la vivienda (002)",1127,853,274
"Pilón de uso público (003)",1040,787,253
"Camión - cisterna u otro similar (004)",9,5,4
"Pozo (005)",1020,493,527
"Río, acequia, manatial o similar (006)",5764,2848,2916
"Vecino (007)",365,171,194
"Otro (008)",235,116,119
,,,
"URBANA (010)",6558,4549,2009
"Red pública dentro de la vivienda (011)",1226,1007,219
"Red pública fuera de la vivienda (012)",977,737,240
"Pilón de uso público (013)",503,342,161
"Camión - cisterna u otro similar (014)",3,2,1
"Pozo (015)",189,110,79
"Río, acequia, manatial o similar (016)",3148,2098,1050
"Vecino (017)",306,143,163
"Otro (018)",206,110,96
,,,
"RURAL (020)",4426,1897,2529
"Red pública dentro de la vivienda (021)",198,166,32
"Red pública fuera de la vivienda (022)",150,116,34
"Pilón de uso público (023)",537,445,92
"Camión - cisterna u otro similar (024)",6,3,3
"Pozo (025)",831,383,448
"Río, acequia, manatial o similar (026)",2616,750,1866
"Vecino (027)",59,28,31
"Otro (028)",29,6,23
