"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUACAYBAMBA (000)",4660,51,1332,1750,1133,394
"Agric., ganadería, caza y silvicultura (001)",3138,38,904,1081,798,317
"Pesca (002)",2,,,1,1,
"Explotación de minas y canteras (003)",10,,5,2,3,
"Industrias manufactureras (004)",59,,6,24,19,10
"Suministro de electricidad, gas y agua (005)",1,,1,,,
"Construcción (006)",140,1,44,56,33,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",248,1,70,117,50,10
"Venta, mant.y rep. veh.autom.y motoc. (008)",2,,1,1,,
"Comercio al por mayor (009)",13,,3,7,3,
"Comercio al por menor (010)",233,1,66,109,47,10
"Hoteles y restaurantes (011)",37,1,6,13,15,2
"Trans., almac. y comunicaciones (012)",34,,16,11,7,
"Intermediación financiera (013)",2,,,1,1,
"Activid.inmobil., empres. y alquileres (014)",13,,1,6,4,2
"Admin.pub. y defensa; p. segur.soc afil (015)",125,,20,73,28,4
"Enseñanza (016)",386,,56,224,103,3
"Servicios sociales y de salud (017)",37,,15,18,3,1
"Otras activ. serv.comun.soc y personales (018)",14,,4,7,3,
"Hogares privados con servicio doméstico (019)",83,2,46,21,7,7
"Actividad economica no especificada (021)",94,,30,33,17,14
"Desocupado (022)",237,8,108,62,41,18
"Hombres (023)",3857,33,1080,1415,985,344
"Agric., ganadería, caza y silvicultura (024)",2886,28,823,993,750,292
"Pesca (025)",2,,,1,1,
"Explotación de minas y canteras (026)",9,,5,1,3,
"Industrias manufactureras (027)",54,,5,24,18,7
"Suministro de electricidad, gas y agua (028)",1,,1,,,
"Construcción (029)",140,1,44,56,33,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",127,,39,56,26,6
"Venta, mant.y rep. veh.autom.y motoc. (031)",2,,1,1,,
"Comercio al por mayor (032)",10,,3,4,3,
"Comercio al por menor (033)",115,,35,51,23,6
"Hoteles y restaurantes (034)",5,,1,,3,1
"Trans., almac. y comunicaciones (035)",29,,14,10,5,
"Intermediación financiera (036)",2,,,1,1,
"Activid.inmobil., empres. y alquileres (037)",11,,1,6,2,2
"Admin.pub. y defensa; p. segur.soc afil (038)",112,,17,64,27,4
"Enseñanza (039)",229,,24,123,79,3
"Servicios sociales y de salud (040)",20,,6,11,2,1
"Otras activ. serv.comun.soc y personales (041)",4,,,3,1,
"Hogares privados con servicio doméstico (042)",17,2,8,4,1,2
