"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUARAL (000)",63447,140485,130691,,2406,93,1.7
"De 12 a 14 años (001)",5154,30,27,,,90,
"De 15 a 19 años (002)",7974,924,918,291,99.4,31.5,
"De 20 a 24 años (003)",7301,4898,4837,607,98.8,12.4,
"De 25 a 29 años (004)",6723,8831,8706,614,98.6,7,
"De 30 a 34 años (005)",6592,12511,12219,499,97.7,4,
"De 35 a 39 años (006)",5990,14851,14428,296,97.2,2,
"De 40 a 44 años (007)",5100,15212,14608,87,96,0.6,
"De 45 a 49 años (008)",4106,14452,13700,12,94.8,0.1,
"De 50 y más años (009)",14507,68776,61248,,89.1,,
"PEA (010)",23261,49678,46799,563,94.2,1.1,
"De 12 a 14 años (011)",173,7,7,,100,,
"De 15 a 19 años (012)",1704,207,204,38,98.6,18.4,
"De 20 a 24 años (013)",3052,1479,1455,110,98.4,7.4,
"De 25 a 29 años (014)",3074,3209,3160,143,98.5,4.5,
"De 30 a 34 años (015)",3170,5186,5069,124,97.7,2.4,
"De 35 a 39 años (016)",3114,7142,6946,111,97.3,1.6,
"De 40 a 44 años (017)",2663,7488,7193,33,96.1,0.4,
"De 45 a 49 años (018)",2076,6853,6501,4,94.9,0.1,
"De 50 y más años (019)",4235,18107,16264,,89.8,,
"Ocupada (020)",22395,48461,45669,534,94.2,1.1,
"De 12 a 14 años (021)",162,7,7,,100,,
"De 15 a 19 años (022)",1568,187,186,34,99.5,18.2,
"De 20 a 24 años (023)",2831,1384,1363,98,98.5,7.1,
"De 25 a 29 años (024)",2929,3083,3039,138,98.6,4.5,
"De 30 a 34 años (025)",3066,5018,4904,118,97.7,2.4,
"De 35 a 39 años (026)",3031,6968,6777,110,97.3,1.6,
"De 40 a 44 años (027)",2609,7324,7039,32,96.1,0.4,
"De 45 a 49 años (028)",2036,6726,6387,4,95,0.1,
"De 50 y más años (029)",4163,17764,15967,,89.9,,
"Desocupada (030)",866,1217,1130,29,92.9,2.4,
"De 12 a 14 años (031)",11,,,,,,
"De 15 a 19 años (032)",136,20,18,4,90,20,
"De 20 a 24 años (033)",221,95,92,12,96.8,12.6,
"De 25 a 29 años (034)",145,126,121,5,96,4,
"De 30 a 34 años (035)",104,168,165,6,98.2,3.6,
