"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia COTABAMBAS (000)",986,334,652
"Sin nivel (001)",176,49,127
"Educación inicial (002)",2,,2
"Primaria (003)",484,161,323
"Secundaria (004)",280,110,170
"Superior no univ. incompleta (005)",13,5,8
"Superior no univ. completa (006)",20,6,14
"Superior univ. incompleta (007)",3,,3
"Superior univ. completa (008)",8,3,5
"Hombres (010)",848,244,604
"Sin nivel (011)",134,26,108
"Educación inicial (012)",2,,2
"Primaria (013)",428,119,309
"Secundaria (014)",251,91,160
"Superior no univ. incompleta (015)",11,4,7
"Superior no univ. completa (016)",14,2,12
"Superior univ. incompleta (017)",2,,2
"Superior univ. completa (018)",6,2,4
"Mujeres (020)",138,90,48
"Sin nivel (021)",42,23,19
"Primaria (023)",56,42,14
"Secundaria (024)",29,19,10
"Superior no univ. incompleta (025)",2,1,1
"Superior no univ. completa (026)",6,4,2
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",2,1,1
,,,
"AREA URBANA (030)",215,65,150
"Sin nivel (031)",23,5,18
"Primaria (033)",71,19,52
"Secundaria (034)",89,30,59
"Superior no univ. incompleta (035)",7,3,4
"Superior no univ. completa (036)",15,5,10
"Superior univ. incompleta (037)",3,,3
"Superior univ. completa (038)",7,3,4
"Hombres (040)",160,37,123
"Sin nivel (041)",9,,9
"Primaria (043)",54,10,44
"Secundaria (044)",76,22,54
"Superior no univ. incompleta (045)",5,2,3
"Superior no univ. completa (046)",9,1,8
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",5,2,3
"Mujeres (050)",55,28,27
"Sin nivel (051)",14,5,9
"Primaria (053)",17,9,8
"Secundaria (054)",13,8,5
"Superior no univ. incompleta (055)",2,1,1
"Superior no univ. completa (056)",6,4,2
"Superior univ. incompleta (057)",1,,1
"Superior univ. completa (058)",2,1,1
,,,
"AREA RURAL (060)",771,269,502
"Sin nivel (061)",153,44,109
"Educación inicial (062)",2,,2
"Primaria (063)",413,142,271
"Secundaria (064)",191,80,111
"Superior no univ. incompleta (065)",6,2,4
"Superior no univ. completa (066)",5,1,4
"Superior univ. completa (068)",1,,1
"Hombres (070)",688,207,481
"Sin nivel (071)",125,26,99
"Educación inicial (072)",2,,2
"Primaria (073)",374,109,265
"Secundaria (074)",175,69,106
"Superior no univ. incompleta (075)",6,2,4
"Superior no univ. completa (076)",5,1,4
"Superior univ. completa (078)",1,,1
"Mujeres (080)",83,62,21
"Sin nivel (081)",28,18,10
"Primaria (083)",39,33,6
"Secundaria (084)",16,11,5
