"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia ACOMAYO (000)",14800,14043,757
"Hombres (001)",7065,6821,244
"Mujeres (002)",7735,7222,513
"De 18 a 29 años (003)",3790,3600,190
"Hombres (004)",1886,1784,102
"Mujeres (005)",1904,1816,88
"De 30 a 44 años (006)",4936,4856,80
"Hombres (007)",2467,2441,26
"Mujeres (008)",2469,2415,54
"De 45 a 64 años (009)",3812,3680,132
"Hombres (010)",1811,1775,36
"Mujeres (011)",2001,1905,96
"De 65 y más años (012)",2262,1907,355
"Hombres (013)",901,821,80
"Mujeres (014)",1361,1086,275
,,,
"URBANA (015)",8007,7628,379
"Hombres (016)",3791,3675,116
"Mujeres (017)",4216,3953,263
"De 18 a 29 años (018)",1915,1822,93
"Hombres (019)",943,898,45
"Mujeres (020)",972,924,48
"De 30 a 44 años (021)",2659,2616,43
"Hombres (022)",1314,1299,15
"Mujeres (023)",1345,1317,28
"De 45 a 64 años (024)",2112,2048,64
"Hombres (025)",1008,992,16
"Mujeres (026)",1104,1056,48
"De 65 y más años (027)",1321,1142,179
"Hombres (028)",526,486,40
"Mujeres (029)",795,656,139
,,,
"RURAL (030)",6793,6415,378
"Hombres (031)",3274,3146,128
"Mujeres (032)",3519,3269,250
"De 18 a 29 años (033)",1875,1778,97
"Hombres (034)",943,886,57
"Mujeres (035)",932,892,40
"De 30 a 44 años (036)",2277,2240,37
"Hombres (037)",1153,1142,11
"Mujeres (038)",1124,1098,26
"De 45 a 64 años (039)",1700,1632,68
"Hombres (040)",803,783,20
"Mujeres (041)",897,849,48
"De 65 y más años (042)",941,765,176
"Hombres (043)",375,335,40
"Mujeres (044)",566,430,136
