"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",5991,68,2478,1988,533,170,70,29,5,,650
"Sin Nivel (001)",3260,49,1356,1080,303,101,49,20,2,,300
"Educación Inicial (002)",28,,17,6,2,1,,,,,2
"Primaria (003)",1403,10,665,453,106,28,9,3,1,,128
"Secundaria (004)",688,4,291,232,44,12,3,,1,,101
"Sup. no Univ. Incompleta (005)",139,,38,49,13,4,,,,,35
"Sup. no Univ. Completa (006)",317,1,78,119,50,15,4,5,1,,44
"Sup. Univ. Incompleta (007)",54,1,12,24,3,2,1,1,,,10
"Sup. Univ. Completa (008)",102,3,21,25,12,7,4,,,,30
,,,,,,,,,,,
"URBANA (010)",797,8,284,259,94,32,16,7,2,,95
"Sin Nivel (011)",216,4,83,55,29,7,7,2,1,,28
"Educación Inicial (012)",1,,1,,,,,,,,
"Primaria (013)",164,1,70,62,10,5,4,1,,,11
"Secundaria (014)",123,,54,46,10,4,,,1,,8
"Sup. no Univ. Incompleta (015)",68,,20,26,10,2,,,,,10
"Sup. no Univ. Completa (016)",152,,44,51,24,7,3,3,,,20
"Sup. Univ. Incompleta (017)",25,1,5,7,3,2,1,1,,,5
"Sup. Univ. Completa (018)",48,2,7,12,8,5,1,,,,13
,,,,,,,,,,,
"RURAL (020)",5194,60,2194,1729,439,138,54,22,3,,555
"Sin Nivel (021)",3044,45,1273,1025,274,94,42,18,1,,272
"Educación Inicial (022)",27,,16,6,2,1,,,,,2
"Primaria (023)",1239,9,595,391,96,23,5,2,1,,117
"Secundaria (024)",565,4,237,186,34,8,3,,,,93
"Sup. no Univ. Incompleta (025)",71,,18,23,3,2,,,,,25
"Sup. no Univ. Completa (026)",165,1,34,68,26,8,1,2,1,,24
"Sup. Univ. Incompleta (027)",29,,7,17,,,,,,,5
"Sup. Univ. Completa (028)",54,1,14,13,4,2,3,,,,17
