"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHACHAPOYAS (000)",13044,9337,3707
"Red pública de desague dentro de la vivienda (001)",5392,5139,253
"Red pública de desague fuera de la vivienda (002)",2252,2123,129
"Pozo séptico (003)",595,315,280
"Pozo ciego o negro / letrina (004)",2867,1178,1689
"Río, acequia o canal (005)",210,145,65
"No tiene (006)",1728,437,1291
,,,
"URBANA (008)",9000,8063,937
"Red pública de desague dentro de la vivienda (009)",5137,4945,192
"Red pública de desague fuera de la vivienda (010)",2048,1959,89
"Pozo séptico (011)",301,208,93
"Pozo ciego o negro / letrina (012)",965,604,361
"Río, acequia o canal (013)",122,110,12
"No tiene (014)",427,237,190
,,,
"RURAL (016)",4044,1274,2770
"Red pública de desague dentro de la vivienda (017)",255,194,61
"Red pública de desague fuera de la vivienda (018)",204,164,40
"Pozo séptico (019)",294,107,187
"Pozo ciego o negro / letrina (020)",1902,574,1328
"Río, acequia o canal (021)",88,35,53
"No tiene (022)",1301,200,1101
