"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUARMEY (000)",7557,55,208,509,876,1605,2466,1838
"De 12 a 14 años (001)",12,,,,,,2,10
"De 15 a 19 años (002)",181,,,,,,104,77
"De 20 a 24 años (003)",805,,,,,2,509,294
"De 25 a 29 años (004)",938,,,,,74,580,284
"De 30 a 34 años (005)",1016,,,,,210,580,226
"De 35 a 39 años (006)",976,,,,13,373,407,183
"De 40 a 44 años (007)",725,,,,60,339,190,136
"De 45 a 49 años (008)",605,,,,127,299,77,102
"De 50 y más años (009)",2299,55,208,509,676,308,17,526
"PEA (010)",2571,6,27,122,267,677,790,682
"De 12 a 14 años (011)",1,,,,,,1,
"De 15 a 19 años (012)",31,,,,,,16,15
"De 20 a 24 años (013)",223,,,,,1,122,100
"De 25 a 29 años (014)",333,,,,,32,171,130
"De 30 a 34 años (015)",403,,,,,84,212,107
"De 35 a 39 años (016)",404,,,,8,159,153,84
"De 40 a 44 años (017)",358,,,,29,179,82,68
"De 45 a 49 años (018)",244,,,,59,111,28,46
"De 50 y más años (019)",574,6,27,122,171,111,5,132
"Ocupada (020)",2476,6,26,121,262,655,752,654
"De 12 a 14 años (021)",1,,,,,,1,
"De 15 a 19 años (022)",27,,,,,,14,13
"De 20 a 24 años (023)",208,,,,,1,110,97
"De 25 a 29 años (024)",312,,,,,30,161,121
"De 30 a 34 años (025)",386,,,,,80,202,104
"De 35 a 39 años (026)",392,,,,7,154,150,81
"De 40 a 44 años (027)",348,,,,29,172,82,65
"De 45 a 49 años (028)",235,,,,58,107,27,43
"De 50 y más años (029)",567,6,26,121,168,111,5,130
"Desocupada (030)",95,,1,1,5,22,38,28
"De 15 a 19 años (032)",4,,,,,,2,2
"De 20 a 24 años (033)",15,,,,,,12,3
"De 25 a 29 años (034)",21,,,,,2,10,9
"De 30 a 34 años (035)",17,,,,,4,10,3
"De 35 a 39 años (036)",12,,,,1,5,3,3
"De 40 a 44 años (037)",10,,,,,7,,3
"De 45 a 49 años (038)",9,,,,1,4,1,3
"De 50 y más años (039)",7,,1,1,3,,,2
"No PEA (040)",4986,49,181,387,609,928,1676,1156
"De 12 a 14 años (041)",11,,,,,,1,10
"De 15 a 19 años (042)",150,,,,,,88,62
"De 20 a 24 años (043)",582,,,,,1,387,194
"De 25 a 29 años (044)",605,,,,,42,409,154
"De 30 a 34 años (045)",613,,,,,126,368,119
"De 35 a 39 años (046)",572,,,,5,214,254,99
"De 40 a 44 años (047)",367,,,,31,160,108,68
"De 45 a 49 años (048)",361,,,,68,188,49,56
"De 50 y más años (049)",1725,49,181,387,505,197,12,394
