"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LORETO (000)",18954,500,6577,6562,4354,961
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",41,,3,27,10,1
"Profes., científicos e intelectuales (002)",1233,,246,738,247,2
"Técnicos de nivel medio y trab.asimilados (003)",409,,120,177,106,6
"Jefes y empleados de oficina (004)",389,,143,162,82,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1304,27,461,488,279,49
"Agricult.trabaj. calif. agrop. y pesqueros (006)",6579,,1695,2292,1952,640
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",817,5,289,322,192,9
"Obreros construc., conf., papel, fab., instr. (008)",840,2,306,347,178,7
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",5343,383,2281,1456,1022,201
"Otra (010)",48,,17,22,9,
"Ocupación no especificada (011)",620,6,297,185,112,20
"Desocupado (012)",1331,77,719,346,165,24
"Hombres (013)",14507,355,5070,4997,3331,754
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",35,,2,22,10,1
"Profes., científicos e intelectuales (015)",770,,124,455,189,2
"Técnicos de nivel medio y trab.asimilados (016)",345,,97,151,92,5
"Jefes y empleados de oficina (017)",274,,82,119,71,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",737,18,259,263,165,32
"Agricult.trabaj. calif. agrop. y pesqueros (019)",6013,,1531,2119,1787,576
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",778,4,279,308,179,8
"Obreros construc., conf., papel, fab., instr. (021)",823,2,297,343,174,7
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3268,279,1650,794,451,94
"Otra (023)",45,,16,21,8,
"Ocupación no especificada (024)",352,6,179,91,69,7
"Desocupado (025)",1067,46,554,311,136,20
"Mujeres (026)",4447,145,1507,1565,1023,207
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,,1,5,,
"Profes., científicos e intelectuales (028)",463,,122,283,58,
"Técnicos de nivel medio y trab.asimilados (029)",64,,23,26,14,1
"Jefes y empleados de oficina (030)",115,,61,43,11,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",567,9,202,225,114,17
"Agricult.trabaj. calif. agrop. y pesqueros (032)",566,,164,173,165,64
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",39,1,10,14,13,1
"Obreros construc., conf., papel, fab., instr. (034)",17,,9,4,4,
