"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia VIRU (000)",27010,63277,59291,,1609,93.7,2.5
"De 12 a 14 años (001)",2591,27,27,,7,100,25.9
"De 15 a 19 años (002)",4085,944,928,234,98.3,24.8,
"De 20 a 24 años (003)",4394,3837,3773,499,98.3,13,
"De 25 a 29 años (004)",3523,5753,5650,397,98.2,6.9,
"De 30 a 34 años (005)",2689,6534,6351,246,97.2,3.8,
"De 35 a 39 años (006)",2288,7286,7032,158,96.5,2.2,
"De 40 a 44 años (007)",1835,7172,6898,55,96.2,0.8,
"De 45 a 49 años (008)",1398,6529,6157,13,94.3,0.2,
"De 50 y más años (009)",4207,25195,22475,,89.2,,
"PEA (010)",9023,19151,18191,329,95,1.7,
"De 12 a 14 años (011)",180,7,7,1,100,14.3,
"De 15 a 19 años (012)",1056,216,211,28,97.7,13,
"De 20 a 24 años (013)",1936,1310,1283,91,97.9,6.9,
"De 25 a 29 años (014)",1577,2169,2132,92,98.3,4.2,
"De 30 a 34 años (015)",1137,2543,2460,58,96.7,2.3,
"De 35 a 39 años (016)",941,2894,2771,42,95.7,1.5,
"De 40 a 44 años (017)",749,2774,2685,14,96.8,0.5,
"De 45 a 49 años (018)",519,2257,2115,3,93.7,0.1,
"De 50 y más años (019)",928,4981,4527,,90.9,,
"Ocupada (020)",8772,18804,17865,324,95,1.7,
"De 12 a 14 años (021)",167,7,7,1,100,14.3,
"De 15 a 19 años (022)",988,204,199,28,97.5,13.7,
"De 20 a 24 años (023)",1866,1261,1238,87,98.2,6.9,
"De 25 a 29 años (024)",1543,2141,2104,92,98.3,4.3,
"De 30 a 34 años (025)",1117,2491,2409,57,96.7,2.3,
"De 35 a 39 años (026)",930,2860,2740,42,95.8,1.5,
"De 40 a 44 años (027)",738,2736,2647,14,96.7,0.5,
"De 45 a 49 años (028)",509,2217,2077,3,93.7,0.1,
"De 50 y más años (029)",914,4887,4444,,90.9,,
"Desocupada (030)",251,347,326,5,93.9,1.4,
"De 12 a 14 años (031)",13,,,,,,
"De 15 a 19 años (032)",68,12,12,,100,,
"De 20 a 24 años (033)",70,49,45,4,91.8,8.2,
"De 25 a 29 años (034)",34,28,28,,100,,
"De 30 a 34 años (035)",20,52,51,1,98.1,1.9,
