"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LORETO (000)",1266,587,679
"Sin nivel (001)",161,108,53
"Educación inicial (002)",1,1,
"Primaria (003)",487,226,261
"Secundaria (004)",526,229,297
"Superior no univ. incompleta (005)",24,6,18
"Superior no univ. completa (006)",35,11,24
"Superior univ. incompleta (007)",18,6,12
"Superior univ. completa (008)",14,,14
"De 14 a 29 años (010)",731,429,302
"Sin nivel (011)",71,60,11
"Educación inicial (012)",1,1,
"Primaria (013)",239,150,89
"Secundaria (014)",371,200,171
"Superior no univ. incompleta (015)",19,6,13
"Superior no univ. completa (016)",18,7,11
"Superior univ. incompleta (017)",9,5,4
"Superior univ. completa (018)",3,,3
"De 30 a 44 años (020)",346,121,225
"Sin nivel (021)",64,43,21
"Primaria (023)",132,48,84
"Secundaria (024)",118,25,93
"Superior no univ. incompleta (025)",4,,4
"Superior no univ. completa (026)",13,4,9
"Superior univ. incompleta (027)",7,1,6
"Superior univ. completa (028)",8,,8
"De 45 a 64 años (030)",165,37,128
"Sin nivel (031)",20,5,15
"Primaria (033)",101,28,73
"Secundaria (034)",34,4,30
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",4,,4
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",3,,3
"De 65 y más años (040)",24,,24
"Sin nivel (041)",6,,6
"Primaria (043)",15,,15
"Secundaria (044)",3,,3
,,,
"AREA URBANA (050)",516,160,356
"Sin nivel (051)",10,2,8
"Primaria (053)",132,31,101
"Secundaria (054)",296,111,185
"Superior no univ. incompleta (055)",20,4,16
"Superior no univ. completa (056)",32,11,21
"Superior univ. incompleta (057)",13,1,12
"Superior univ. completa (058)",13,,13
"De 14 a 29 años (060)",292,125,167
"Sin nivel (061)",1,1,
"Primaria (063)",49,17,32
"Secundaria (064)",202,95,107
"Superior no univ. incompleta (065)",16,4,12
"Superior no univ. completa (066)",16,7,9
"Superior univ. incompleta (067)",5,1,4
"Superior univ. completa (068)",3,,3
"De 30 a 44 años (070)",142,27,115
"Sin nivel (071)",5,1,4
"Primaria (073)",42,10,32
"Secundaria (074)",67,12,55
"Superior no univ. incompleta (075)",3,,3
"Superior no univ. completa (076)",12,4,8
"Superior univ. incompleta (077)",6,,6
"Superior univ. completa (078)",7,,7
"De 45 a 64 años (080)",69,8,61
"Sin nivel (081)",1,,1
"Primaria (083)",34,4,30
"Secundaria (084)",24,4,20
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",4,,4
"Superior univ. incompleta (087)",2,,2
"Superior univ. completa (088)",3,,3
"De 65 y más años (090)",13,,13
"Sin nivel (091)",3,,3
"Primaria (093)",7,,7
"Secundaria (094)",3,,3
,,,
"AREA RURAL (100)",750,427,323
"Sin nivel (101)",151,106,45
"Educación inicial (102)",1,1,
"Primaria (103)",355,195,160
"Secundaria (104)",230,118,112
"Superior no univ. incompleta (105)",4,2,2
"Superior no univ. completa (106)",3,,3
"Superior univ. incompleta (107)",5,5,
"Superior univ. completa (108)",1,,1
"De 14 a 29 años (110)",439,304,135
"Sin nivel (111)",70,59,11
"Educación inicial (112)",1,1,
"Primaria (113)",190,133,57
"Secundaria (114)",169,105,64
"Superior no univ. incompleta (115)",3,2,1
"Superior no univ. completa (116)",2,,2
"Superior univ. incompleta (117)",4,4,
"De 30 a 44 años (120)",204,94,110
"Sin nivel (121)",59,42,17
"Primaria (123)",90,38,52
"Secundaria (124)",51,13,38
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",1,,1
"Superior univ. incompleta (127)",1,1,
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",96,29,67
"Sin nivel (131)",19,5,14
"Primaria (133)",67,24,43
"Secundaria (134)",10,,10
"De 65 y más años (140)",11,,11
"Sin nivel (141)",3,,3
"Primaria (143)",8,,8
