"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CARABAYA (000)",24576,637,8578,8603,5246,1512
"Empleado (001)",1942,7,620,974,326,15
"Obrero (002)",3539,26,1722,1172,550,69
"Trabajador independiente (003)",12110,43,3353,4494,3143,1077
"Empleador o patrono (004)",301,,81,105,86,29
"Trabajador familiar no remunerado (005)",6535,551,2721,1825,1121,317
"Trabajador del hogar (006)",149,10,81,33,20,5
"Hombres (008)",15403,343,5247,5486,3352,975
"Empleado (009)",1313,7,343,677,273,13
"Obrero (010)",3028,18,1477,1031,451,51
"Trabajador independiente (011)",8710,22,2285,3294,2324,785
"Empleador o patrono (012)",228,,56,81,66,25
"Trabajador familiar no remunerado (013)",2095,295,1071,395,234,100
"Trabajador del hogar (014)",29,1,15,8,4,1
"Mujeres (016)",9173,294,3331,3117,1894,537
"Empleado (017)",629,,277,297,53,2
"Obrero (018)",511,8,245,141,99,18
"Trabajador independiente (019)",3400,21,1068,1200,819,292
"Empleador o patrono (020)",73,,25,24,20,4
"Trabajador familiar no remunerado (021)",4440,256,1650,1430,887,217
"Trabajador del hogar (022)",120,9,66,25,16,4
,,,,,,
"URBANA (024)",8154,99,2642,3322,1731,360
"Empleado (025)",1503,7,456,749,280,11
"Obrero (026)",1499,9,658,558,251,23
"Trabajador independiente (027)",3814,22,1006,1586,945,255
"Empleador o patrono (028)",85,,25,28,25,7
"Trabajador familiar no remunerado (029)",1174,54,453,385,221,61
"Trabajador del hogar (030)",79,7,44,16,9,3
"Hombres (032)",5057,56,1586,2072,1117,226
"Empleado (033)",1027,7,252,524,235,9
"Obrero (034)",1316,5,567,504,222,18
"Trabajador independiente (035)",2304,14,561,962,594,173
"Empleador o patrono (036)",56,,15,16,19,6
"Trabajador familiar no remunerado (037)",339,29,183,62,46,19
"Trabajador del hogar (038)",15,1,8,4,1,1
"Mujeres (040)",3097,43,1056,1250,614,134
"Empleado (041)",476,,204,225,45,2
"Obrero (042)",183,4,91,54,29,5
"Trabajador independiente (043)",1510,8,445,624,351,82
"Empleador o patrono (044)",29,,10,12,6,1
"Trabajador familiar no remunerado (045)",835,25,270,323,175,42
"Trabajador del hogar (046)",64,6,36,12,8,2
,,,,,,
"RURAL (048)",16422,538,5936,5281,3515,1152
"Empleado (049)",439,,164,225,46,4
"Obrero (050)",2040,17,1064,614,299,46
"Trabajador independiente (051)",8296,21,2347,2908,2198,822
"Empleador o patrono (052)",216,,56,77,61,22
"Trabajador familiar no remunerado (053)",5361,497,2268,1440,900,256
"Trabajador del hogar (054)",70,3,37,17,11,2
"Hombres (056)",10346,287,3661,3414,2235,749
"Empleado (057)",286,,91,153,38,4
"Obrero (058)",1712,13,910,527,229,33
"Trabajador independiente (059)",6406,8,1724,2332,1730,612
"Empleador o patrono (060)",172,,41,65,47,19
"Trabajador familiar no remunerado (061)",1756,266,888,333,188,81
"Trabajador del hogar (062)",14,,7,4,3,
"Mujeres (064)",6076,251,2275,1867,1280,403
"Empleado (065)",153,,73,72,8,
"Obrero (066)",328,4,154,87,70,13
"Trabajador independiente (067)",1890,13,623,576,468,210
"Empleador o patrono (068)",44,,15,12,14,3
"Trabajador familiar no remunerado (069)",3605,231,1380,1107,712,175
"Trabajador del hogar (070)",56,3,30,13,8,2
