"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",23119,4627,46,11069,5347,347,833,165,685
"Empleado (001)",1665,13,,79,232,112,577,73,579
"Obrero (002)",1791,198,4,748,735,40,39,15,12
"Trabajador independiente (003)",12590,2421,14,6801,2914,133,170,63,74
"Empleador o patrono (004)",135,15,,61,44,3,5,2,5
"Trabajador familiar no remunerado (005)",6828,1965,28,3336,1372,59,41,12,15
"Trabajador del hogar (006)",110,15,,44,50,,1,,
"Hombres (008)",14366,1531,16,7368,4088,249,551,129,434
"Empleado (009)",1052,5,,41,158,74,360,54,360
"Obrero (010)",1513,99,1,639,672,37,38,15,12
"Trabajador independiente (011)",9366,1174,6,5498,2364,99,124,50,51
"Empleador o patrono (012)",90,7,,41,29,2,5,2,4
"Trabajador familiar no remunerado (013)",2311,238,9,1141,848,37,23,8,7
"Trabajador del hogar (014)",34,8,,8,17,,1,,
"Mujeres (016)",8753,3096,30,3701,1259,98,282,36,251
"Empleado (017)",613,8,,38,74,38,217,19,219
"Obrero (018)",278,99,3,109,63,3,1,,
"Trabajador independiente (019)",3224,1247,8,1303,550,34,46,13,23
"Empleador o patrono (020)",45,8,,20,15,1,,,1
"Trabajador familiar no remunerado (021)",4517,1727,19,2195,524,22,18,4,8
"Trabajador del hogar (022)",76,7,,36,33,,,,
,,,,,,,,,
"URBANA (024)",5769,506,14,1796,1904,200,661,122,566
"Empleado (025)",1319,12,,49,167,69,479,60,483
"Obrero (026)",757,35,2,245,396,22,34,13,10
"Trabajador independiente (027)",2660,313,3,1067,971,81,125,40,60
"Empleador o patrono (028)",49,3,,13,20,3,4,1,5
"Trabajador familiar no remunerado (029)",928,141,9,406,313,25,18,8,8
"Trabajador del hogar (030)",56,2,,16,37,,1,,
"Hombres (032)",3488,113,5,1043,1308,136,429,94,360
"Empleado (033)",819,4,,16,106,45,297,46,305
"Obrero (034)",671,18,,207,369,21,33,13,10
"Trabajador independiente (035)",1607,81,1,667,650,54,86,29,39
"Empleador o patrono (036)",28,1,,6,10,2,4,1,4
"Trabajador familiar no remunerado (037)",346,9,4,143,161,14,8,5,2
"Trabajador del hogar (038)",17,,,4,12,,1,,
"Mujeres (040)",2281,393,9,753,596,64,232,28,206
"Empleado (041)",500,8,,33,61,24,182,14,178
"Obrero (042)",86,17,2,38,27,1,1,,
"Trabajador independiente (043)",1053,232,2,400,321,27,39,11,21
"Empleador o patrono (044)",21,2,,7,10,1,,,1
"Trabajador familiar no remunerado (045)",582,132,5,263,152,11,10,3,6
"Trabajador del hogar (046)",39,2,,12,25,,,,
,,,,,,,,,
"RURAL (048)",17350,4121,32,9273,3443,147,172,43,119
"Empleado (049)",346,1,,30,65,43,98,13,96
"Obrero (050)",1034,163,2,503,339,18,5,2,2
"Trabajador independiente (051)",9930,2108,11,5734,1943,52,45,23,14
"Empleador o patrono (052)",86,12,,48,24,,1,1,
"Trabajador familiar no remunerado (053)",5900,1824,19,2930,1059,34,23,4,7
"Trabajador del hogar (054)",54,13,,28,13,,,,
"Hombres (056)",10878,1418,11,6325,2780,113,122,35,74
"Empleado (057)",233,1,,25,52,29,63,8,55
"Obrero (058)",842,81,1,432,303,16,5,2,2
"Trabajador independiente (059)",7759,1093,5,4831,1714,45,38,21,12
"Empleador o patrono (060)",62,6,,35,19,,1,1,
"Trabajador familiar no remunerado (061)",1965,229,5,998,687,23,15,3,5
"Trabajador del hogar (062)",17,8,,4,5,,,,
"Mujeres (064)",6472,2703,21,2948,663,34,50,8,45
"Empleado (065)",113,,,5,13,14,35,5,41
"Obrero (066)",192,82,1,71,36,2,,,
"Trabajador independiente (067)",2171,1015,6,903,229,7,7,2,2
"Empleador o patrono (068)",24,6,,13,5,,,,
"Trabajador familiar no remunerado (069)",3935,1595,14,1932,372,11,8,1,2
"Trabajador del hogar (070)",37,5,,24,8,,,,
