"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia MARISCAL CACERES (000)",11941,6714,5227
"Red pública de desague dentro de la vivienda (001)",3608,3486,122
"Red pública de desague fuera de la vivienda (002)",1418,1264,154
"Pozo séptico (003)",271,140,131
"Pozo ciego o negro / letrina (004)",4769,1581,3188
"Río, acequia o canal (005)",76,26,50
"No tiene (006)",1799,217,1582
,,,
"URBANA (008)",7179,6067,1112
"Red pública de desague dentro de la vivienda (009)",3547,3444,103
"Red pública de desague fuera de la vivienda (010)",1370,1250,120
"Pozo séptico (011)",157,110,47
"Pozo ciego o negro / letrina (012)",1753,1090,663
"Río, acequia o canal (013)",32,18,14
"No tiene (014)",320,155,165
,,,
"RURAL (016)",4762,647,4115
"Red pública de desague dentro de la vivienda (017)",61,42,19
"Red pública de desague fuera de la vivienda (018)",48,14,34
"Pozo séptico (019)",114,30,84
"Pozo ciego o negro / letrina (020)",3016,491,2525
"Río, acequia o canal (021)",44,8,36
"No tiene (022)",1479,62,1417
