"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ANTA (000)",26229,3593,8266,7609,6761
"Asiste actualmente (001)",19272,1385,7804,7136,2947
"No asiste (002)",6957,2208,462,473,3814
"Hombres (004)",13699,1876,4267,4007,3549
"Asiste actualmente (005)",10159,702,4016,3763,1678
"No asiste (006)",3540,1174,251,244,1871
"Mujeres (008)",12530,1717,3999,3602,3212
"Asiste actualmente (009)",9113,683,3788,3373,1269
"No asiste (010)",3417,1034,211,229,1943
,,,,,
"URBANA (012)",9187,1194,2844,2690,2459
"Asiste actualmente (013)",6976,498,2731,2554,1193
"No asiste (014)",2211,696,113,136,1266
"Hombres (016)",4745,630,1433,1413,1269
"Asiste actualmente (017)",3636,258,1366,1346,666
"No asiste (018)",1109,372,67,67,603
"Mujeres (020)",4442,564,1411,1277,1190
"Asiste actualmente (021)",3340,240,1365,1208,527
"No asiste (022)",1102,324,46,69,663
,,,,,
"RURAL (024)",17042,2399,5422,4919,4302
"Asiste actualmente (025)",12296,887,5073,4582,1754
"No asiste (026)",4746,1512,349,337,2548
"Hombres (028)",8954,1246,2834,2594,2280
"Asiste actualmente (029)",6523,444,2650,2417,1012
"No asiste (030)",2431,802,184,177,1268
"Mujeres (032)",8088,1153,2588,2325,2022
"Asiste actualmente (033)",5773,443,2423,2165,742
"No asiste (034)",2315,710,165,160,1280
