"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia LA UNION (000)",6663,4981,1682
"De 3 a 5 años (001)",1241,54,1187
"De 6 a 11 años (002)",2332,1938,394
"De 12 a 16 años (003)",1714,1687,27
"De 17 a 24 años (004)",1376,1302,74
"Hombres (005)",3446,2607,839
"De 3 a 5 años (006)",620,26,594
"De 6 a 11 años (007)",1203,991,212
"De 12 a 16 años (008)",892,883,9
"De 17 a 24 años (009)",731,707,24
"Mujeres (010)",3217,2374,843
"De 3 a 5 años (011)",621,28,593
"De 6 a 11 años (012)",1129,947,182
"De 12 a 16 años (013)",822,804,18
"De 17 a 24 años (014)",645,595,50
,,,
"URBANA (015)",3321,2617,704
"De 3 a 5 años (016)",545,30,515
"De 6 a 11 años (017)",1075,915,160
"De 12 a 16 años (018)",993,987,6
"De 17 a 24 años (019)",708,685,23
"Hombres (020)",1716,1355,361
"De 3 a 5 años (021)",267,13,254
"De 6 a 11 años (022)",554,457,97
"De 12 a 16 años (023)",522,519,3
"De 17 a 24 años (024)",373,366,7
"Mujeres (025)",1605,1262,343
"De 3 a 5 años (026)",278,17,261
"De 6 a 11 años (027)",521,458,63
"De 12 a 16 años (028)",471,468,3
"De 17 a 24 años (029)",335,319,16
,,,
"RURAL (030)",3342,2364,978
"De 3 a 5 años (031)",696,24,672
"De 6 a 11 años (032)",1257,1023,234
"De 12 a 16 años (033)",721,700,21
"De 17 a 24 años (034)",668,617,51
"Hombres (035)",1730,1252,478
"De 3 a 5 años (036)",353,13,340
"De 6 a 11 años (037)",649,534,115
"De 12 a 16 años (038)",370,364,6
"De 17 a 24 años (039)",358,341,17
"Mujeres (040)",1612,1112,500
"De 3 a 5 años (041)",343,11,332
"De 6 a 11 años (042)",608,489,119
"De 12 a 16 años (043)",351,336,15
"De 17 a 24 años (044)",310,276,34
