"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CARABAYA (000)",19221,72425,7160,29123,12061,43302
"Casa independiente (001)",15661,61844,6830,28368,8831,33476
"Vivienda en quinta (003)",3,15,3,15,,
"Vivienda en casa de vecindad (004)",317,716,317,716,,
"Choza o cabaña (005)",3199,9763,,,3199,9763
"Vivienda improvisada (006)",2,9,2,9,,
"Local no dest.para hab. humana (007)",9,16,8,15,1,1
"Otro tipo (008)",30,62,,,30,62
