"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CAJABAMBA (000)",873,354,519
"De 14 a 29 años (001)",565,296,269
"De 30 a 44 años (002)",187,50,137
"De 45 a 64 años (003)",89,8,81
"De 65 y más años (004)",32,,32
"Hombres (005)",649,236,413
"De 14 a 29 años (006)",386,192,194
"De 30 a 44 años (007)",154,39,115
"De 45 a 64 años (008)",79,5,74
"De 65 y más años (009)",30,,30
"Mujeres (010)",224,118,106
"De 14 a 29 años (011)",179,104,75
"De 30 a 44 años (012)",33,11,22
"De 45 a 64 años (013)",10,3,7
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",284,89,195
"De 14 a 29 años (016)",148,61,87
"De 30 a 44 años (017)",88,24,64
"De 45 a 64 años (018)",37,4,33
"De 65 y más años (019)",11,,11
"Hombres (020)",213,60,153
"De 14 a 29 años (021)",108,43,65
"De 30 a 44 años (022)",65,16,49
"De 45 a 64 años (023)",31,1,30
"De 65 y más años (024)",9,,9
"Mujeres (025)",71,29,42
"De 14 a 29 años (026)",40,18,22
"De 30 a 44 años (027)",23,8,15
"De 45 a 64 años (028)",6,3,3
"De 65 y más años (029)",2,,2
,,,
"AREA RURAL (030)",589,265,324
"De 14 a 29 años (031)",417,235,182
"De 30 a 44 años (032)",99,26,73
"De 45 a 64 años (033)",52,4,48
"De 65 y más años (034)",21,,21
"Hombres (035)",436,176,260
"De 14 a 29 años (036)",278,149,129
"De 30 a 44 años (037)",89,23,66
"De 45 a 64 años (038)",48,4,44
"De 65 y más años (039)",21,,21
"Mujeres (040)",153,89,64
"De 14 a 29 años (041)",139,86,53
"De 30 a 44 años (042)",10,3,7
"De 45 a 64 años (043)",4,,4
