"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANCA SANCOS (000)",3747,76,930,1325,1045,371
"Agric., ganadería, caza y silvicultura (001)",2167,52,490,634,686,305
"Explotación de minas y canteras (003)",36,,15,17,4,
"Industrias manufactureras (004)",80,2,20,17,20,21
"Suministro de electricidad, gas y agua (005)",9,,5,4,,
"Construcción (006)",261,6,92,119,43,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",239,3,58,99,60,19
"Venta, mant.y rep. veh.autom.y motoc. (008)",3,,2,1,,
"Comercio al por mayor (009)",7,,3,2,1,1
"Comercio al por menor (010)",229,3,53,96,59,18
"Hoteles y restaurantes (011)",64,4,18,22,15,5
"Trans., almac. y comunicaciones (012)",62,,22,27,12,1
"Intermediación financiera (013)",3,,1,1,1,
"Activid.inmobil., empres. y alquileres (014)",30,,8,14,7,1
"Admin.pub. y defensa; p. segur.soc afil (015)",131,,40,63,26,2
"Enseñanza (016)",283,,48,145,89,1
"Servicios sociales y de salud (017)",64,,13,40,10,1
"Otras activ. serv.comun.soc y personales (018)",22,,5,8,7,2
"Hogares privados con servicio doméstico (019)",31,2,17,9,2,1
"Actividad economica no especificada (021)",91,1,26,34,22,8
"Desocupado (022)",174,6,52,72,41,3
"Hombres (023)",2342,50,574,846,657,215
"Agric., ganadería, caza y silvicultura (024)",1326,34,302,397,414,179
"Explotación de minas y canteras (026)",36,,15,17,4,
"Industrias manufactureras (027)",60,1,17,11,17,14
"Suministro de electricidad, gas y agua (028)",8,,5,3,,
"Construcción (029)",238,5,83,107,42,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",77,2,25,27,16,7
"Venta, mant.y rep. veh.autom.y motoc. (031)",3,,2,1,,
"Comercio al por mayor (032)",3,,2,,1,
"Comercio al por menor (033)",71,2,21,26,15,7
"Hoteles y restaurantes (034)",10,2,1,4,2,1
"Trans., almac. y comunicaciones (035)",51,,17,23,10,1
"Intermediación financiera (036)",2,,1,,1,
"Activid.inmobil., empres. y alquileres (037)",25,,7,12,5,1
"Admin.pub. y defensa; p. segur.soc afil (038)",110,,27,57,24,2
"Enseñanza (039)",159,,11,81,66,1
"Servicios sociales y de salud (040)",31,,6,19,5,1
"Otras activ. serv.comun.soc y personales (041)",13,,4,6,1,2
"Hogares privados con servicio doméstico (042)",1,,1,,,
"Actividad economica no especificada (044)",42,1,10,19,10,2
