"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CARHUAZ (000)",43902,744,13328,11541,8099,6477,3713
"Hombres (001)",21283,407,6774,5708,3868,3000,1526
"Mujeres (002)",22619,337,6554,5833,4231,3477,2187
"Viviendas particulares (003)",43772,734,13318,11490,8059,6461,3710
"Hombres (004)",21221,400,6767,5693,3846,2990,1525
"Mujeres (005)",22551,334,6551,5797,4213,3471,2185
"Viviendas colectivas (006)",83,10,4,39,23,5,2
"Hombres (007)",34,7,2,10,12,2,1
"Mujeres (008)",49,3,2,29,11,3,1
"Otro tipo (009)",47,,6,12,17,11,1
"Hombres (010)",28,,5,5,10,8,
"Mujeres (011)",19,,1,7,7,3,1
,,,,,,,
"URBANA (012)",14862,246,4070,3982,2942,2345,1277
"Hombres (013)",7218,149,2017,1983,1417,1122,530
"Mujeres (014)",7644,97,2053,1999,1525,1223,747
"Viviendas particulares (015)",14732,236,4060,3931,2902,2329,1274
"Hombres (016)",7156,142,2010,1968,1395,1112,529
"Mujeres (017)",7576,94,2050,1963,1507,1217,745
"Viviendas colectivas (018)",83,10,4,39,23,5,2
"Hombres (019)",34,7,2,10,12,2,1
"Mujeres (020)",49,3,2,29,11,3,1
"Otro tipo (021)",47,,6,12,17,11,1
"Hombres (022)",28,,5,5,10,8,
"Mujeres (023)",19,,1,7,7,3,1
,,,,,,,
"RURAL (024)",29040,498,9258,7559,5157,4132,2436
"Hombres (025)",14065,258,4757,3725,2451,1878,996
"Mujeres (026)",14975,240,4501,3834,2706,2254,1440
"Viviendas particulares (027)",29040,498,9258,7559,5157,4132,2436
"Hombres (028)",14065,258,4757,3725,2451,1878,996
"Mujeres (029)",14975,240,4501,3834,2706,2254,1440
