"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BONGARA (000)",10037,8571,479,408,579
"Agric., ganadería, caza y silvicultura (001)",5972,5791,155,22,4
"Pesca (002)",9,9,,,
"Explotación de minas y canteras (003)",67,13,7,35,12
"Industrias manufactureras (004)",274,248,15,10,1
"Suministro de electricidad, gas y agua (005)",6,2,,3,1
"Construcción (006)",414,205,94,72,43
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1069,1033,30,3,3
"Venta, mant.y rep. veh.autom y motoc. (008)",75,68,3,1,3
"Comercio al por mayor (009)",58,57,1,,
"Comercio al por menor (010)",936,908,26,2,
"Hoteles y restaurantes (011)",199,176,11,12,
"Trans., almac. y comunicaciones (012)",439,372,14,28,25
"Intermediación financiera (013)",5,,,1,4
"Activid.inmobil., empres. y alquileres (014)",181,63,38,46,34
"Admin.pub. y defensa; p. segur soc.afil (015)",246,,,,246
"Enseñanza (016)",425,109,79,141,96
"Servicios sociales y de salud (017)",110,35,2,8,65
"Otras activ. serv.comun.soc y personales (018)",120,78,19,10,13
"Hogares privados con servicio doméstico (019)",181,181,,,
"Actividad economica no especificada (021)",320,256,15,17,32
"Hombres (022)",7505,6438,369,286,412
"Agric., ganadería, caza y silvicultura (023)",5045,4894,127,20,4
"Pesca (024)",9,9,,,
"Explotación de minas y canteras (025)",60,10,5,34,11
"Industrias manufactureras (026)",206,184,14,8,
"Suministro de electricidad, gas y agua (027)",6,2,,3,1
"Construcción (028)",406,202,93,70,41
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",558,536,18,1,3
"Venta, mant.y rep. veh.autom y motoc. (030)",73,66,3,1,3
"Comercio al por mayor (031)",35,35,,,
"Comercio al por menor (032)",450,435,15,,
"Hoteles y restaurantes (033)",36,31,1,4,
"Trans., almac. y comunicaciones (034)",423,362,11,25,25
"Intermediación financiera (035)",3,,,,3
"Activid.inmobil., empres. y alquileres (036)",145,42,31,42,30
"Admin.pub. y defensa; p. segur soc.afil (037)",185,,,,185
"Enseñanza (038)",172,25,42,62,43
"Servicios sociales y de salud (039)",50,22,2,1,25
"Otras activ. serv.comun.soc y personales (040)",79,47,13,7,12
"Hogares privados con servicio doméstico (041)",2,2,,,
"Actividad economica no especificada (043)",120,70,12,9,29
