"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BAGUA (000)",816,58,427,199,113,19
"Sin nivel (001)",47,15,11,8,11,2
"Educación inicial (002)",1,,1,,,
"Primaria (003)",300,39,118,67,62,14
"Secundaria (004)",323,4,210,82,25,2
"Superior no univ. incompleta (005)",35,,22,9,4,
"Superior no univ. completa (006)",75,,48,22,4,1
"Superior univ. incompleta (007)",11,,7,2,2,
"Superior univ. completa (008)",24,,10,9,5,
"Hombres (010)",603,38,299,153,95,18
"Sin nivel (011)",27,8,9,3,5,2
"Educación inicial (012)",1,,1,,,
"Primaria (013)",235,28,84,56,54,13
"Secundaria (014)",250,2,155,69,22,2
"Superior no univ. incompleta (015)",26,,17,6,3,
"Superior no univ. completa (016)",38,,24,9,4,1
"Superior univ. incompleta (017)",7,,4,1,2,
"Superior univ. completa (018)",19,,5,9,5,
"Mujeres (020)",213,20,128,46,18,1
"Sin nivel (021)",20,7,2,5,6,
"Primaria (023)",65,11,34,11,8,1
"Secundaria (024)",73,2,55,13,3,
"Superior no univ. incompleta (025)",9,,5,3,1,
"Superior no univ. completa (026)",37,,24,13,,
"Superior univ. incompleta (027)",4,,3,1,,
"Superior univ. completa (028)",5,,5,,,
,,,,,,
"Area Urbana (030)",519,9,266,145,84,15
"Sin nivel (031)",17,1,3,6,5,2
"Educación inicial (032)",1,,1,,,
"Primaria (033)",135,6,41,36,42,10
"Secundaria (034)",234,2,142,65,23,2
"Superior no univ. incompleta (035)",35,,22,9,4,
"Superior no univ. completa (036)",67,,41,21,4,1
"Superior univ. incompleta (037)",11,,7,2,2,
"Superior univ. completa (038)",19,,9,6,4,
"Hombres (040)",366,8,171,103,70,14
"Sin nivel (041)",8,1,2,2,1,2
"Educación inicial (042)",1,,1,,,
"Primaria (043)",107,6,28,28,36,9
"Secundaria (044)",173,1,98,52,20,2
"Superior no univ. incompleta (045)",26,,17,6,3,
"Superior no univ. completa (046)",30,,17,8,4,1
"Superior univ. incompleta (047)",7,,4,1,2,
"Superior univ. completa (048)",14,,4,6,4,
"Mujeres (050)",153,1,95,42,14,1
"Sin nivel (051)",9,,1,4,4,
"Primaria (053)",28,,13,8,6,1
"Secundaria (054)",61,1,44,13,3,
"Superior no univ. incompleta (055)",9,,5,3,1,
"Superior no univ. completa (056)",37,,24,13,,
"Superior univ. incompleta (057)",4,,3,1,,
"Superior univ. completa (058)",5,,5,,,
,,,,,,
"Area Rural (060)",297,49,161,54,29,4
"Sin nivel (061)",30,14,8,2,6,
"Primaria (063)",165,33,77,31,20,4
"Secundaria (064)",89,2,68,17,2,
"Superior no univ. completa (066)",8,,7,1,,
"Superior univ. completa (068)",5,,1,3,1,
"Hombres (070)",237,30,128,50,25,4
"Sin nivel (071)",19,7,7,1,4,
"Primaria (073)",128,22,56,28,18,4
"Secundaria (074)",77,1,57,17,2,
"Superior no univ. completa (076)",8,,7,1,,
"Superior univ. completa (078)",5,,1,3,1,
"Mujeres (080)",60,19,33,4,4,
"Sin nivel (081)",11,7,1,1,2,
"Primaria (083)",37,11,21,3,2,
"Secundaria (084)",12,1,11,,,
