"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia BOLOGNESI (000)",519,166,353
"Sin nivel (001)",11,1,10
"Educación inicial (002)",6,3,3
"Primaria (003)",136,32,104
"Secundaria (004)",216,86,130
"Superior no univ. incompleta (005)",33,9,24
"Superior no univ. completa (006)",51,13,38
"Superior univ. incompleta (007)",21,9,12
"Superior univ. completa (008)",45,13,32
"De 14 a 29 años (010)",283,133,150
"Sin nivel (011)",6,,6
"Educación inicial (012)",3,2,1
"Primaria (013)",53,24,29
"Secundaria (014)",136,76,60
"Superior no univ. incompleta (015)",23,6,17
"Superior no univ. completa (016)",29,11,18
"Superior univ. incompleta (017)",14,6,8
"Superior univ. completa (018)",19,8,11
"De 30 a 44 años (020)",148,28,120
"Sin nivel (021)",2,1,1
"Educación inicial (022)",3,1,2
"Primaria (023)",41,6,35
"Secundaria (024)",60,8,52
"Superior no univ. incompleta (025)",9,3,6
"Superior no univ. completa (026)",12,2,10
"Superior univ. incompleta (027)",5,2,3
"Superior univ. completa (028)",16,5,11
"De 45 a 64 años (030)",75,5,70
"Sin nivel (031)",3,,3
"Primaria (033)",31,2,29
"Secundaria (034)",19,2,17
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",9,,9
"Superior univ. incompleta (037)",2,1,1
"Superior univ. completa (038)",10,,10
"De 65 y más años (040)",13,,13
"Primaria (043)",11,,11
"Secundaria (044)",1,,1
"Superior no univ. completa (046)",1,,1
,,,
"AREA URBANA (050)",386,111,275
"Sin nivel (051)",9,1,8
"Educación inicial (052)",4,1,3
"Primaria (053)",93,18,75
"Secundaria (054)",159,53,106
"Superior no univ. incompleta (055)",25,9,16
"Superior no univ. completa (056)",43,12,31
"Superior univ. incompleta (057)",15,7,8
"Superior univ. completa (058)",38,10,28
"De 14 a 29 años (060)",193,84,109
"Sin nivel (061)",4,,4
"Educación inicial (062)",1,,1
"Primaria (063)",32,13,19
"Secundaria (064)",93,45,48
"Superior no univ. incompleta (065)",16,6,10
"Superior no univ. completa (066)",23,10,13
"Superior univ. incompleta (067)",8,4,4
"Superior univ. completa (068)",16,6,10
"De 30 a 44 años (070)",120,24,96
"Sin nivel (071)",2,1,1
"Educación inicial (072)",3,1,2
"Primaria (073)",29,4,25
"Secundaria (074)",50,7,43
"Superior no univ. incompleta (075)",8,3,5
"Superior no univ. completa (076)",11,2,9
"Superior univ. incompleta (077)",5,2,3
"Superior univ. completa (078)",12,4,8
"De 45 a 64 años (080)",63,3,60
"Sin nivel (081)",3,,3
"Primaria (083)",24,1,23
"Secundaria (084)",15,1,14
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",8,,8
"Superior univ. incompleta (087)",2,1,1
"Superior univ. completa (088)",10,,10
"De 65 y más años (090)",10,,10
"Primaria (093)",8,,8
"Secundaria (094)",1,,1
"Superior no univ. completa (096)",1,,1
,,,
"AREA RURAL (100)",133,55,78
"Sin nivel (101)",2,,2
"Educación inicial (102)",2,2,
"Primaria (103)",43,14,29
"Secundaria (104)",57,33,24
"Superior no univ. incompleta (105)",8,,8
"Superior no univ. completa (106)",8,1,7
"Superior univ. incompleta (107)",6,2,4
"Superior univ. completa (108)",7,3,4
"De 14 a 29 años (110)",90,49,41
"Sin nivel (111)",2,,2
"Educación inicial (112)",2,2,
"Primaria (113)",21,11,10
"Secundaria (114)",43,31,12
"Superior no univ. incompleta (115)",7,,7
"Superior no univ. completa (116)",6,1,5
"Superior univ. incompleta (117)",6,2,4
"Superior univ. completa (118)",3,2,1
"De 30 a 44 años (120)",28,4,24
"Primaria (123)",12,2,10
"Secundaria (124)",10,1,9
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",1,,1
"Superior univ. completa (128)",4,1,3
"De 45 a 64 años (130)",12,2,10
"Primaria (133)",7,1,6
"Secundaria (134)",4,1,3
"Superior no univ. completa (136)",1,,1
"De 65 y más años (140)",3,,3
"Primaria (143)",3,,3
