"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PASCO (000)",56204,53012,18821,7510,7186,5229,6812,3937,2080,1437,3192,126726
"De 12 a 14 años (001)",5390,5362,5334,21,7,,,,,,28,35
"De 15 a 19 años (002)",8251,8133,7451,592,75,7,8,,,,118,795
"De 20 a 24 años (003)",7725,6514,3234,2213,860,158,40,9,,,1211,4636
"De 25 a 29 años (004)",6801,5852,1192,1913,1716,718,276,30,7,,949,8902
"De 30 a 34 años (005)",5533,5174,542,1103,1597,1045,771,91,19,6,359,11533
"De 35 a 39 años (006)",5316,5118,301,613,1234,1202,1328,352,70,18,198,15486
"De 40 a 44 años (007)",4336,4225,201,332,649,808,1382,605,189,59,111,16267
"De 45 a 49 años (008)",3414,3364,133,213,384,477,1031,693,315,118,50,15419
"De 50 y más años (009)",9438,9270,433,510,664,814,1976,2157,1480,1236,168,53653
"PEA (010)",14279,12915,3352,2511,2235,1516,1834,834,384,249,1364,30923
"De 12 a 14 años (011)",102,99,99,,,,,,,,3,
"De 15 a 19 años (012)",934,916,822,77,15,1,1,,,,18,114
"De 20 a 24 años (013)",2075,1651,982,483,148,30,5,3,,,424,912
"De 25 a 29 años (014)",2341,1837,627,628,391,127,52,9,3,,504,2094
"De 30 a 34 años (015)",1947,1751,328,518,473,233,171,22,3,3,196,3095
"De 35 a 39 años (016)",1896,1792,184,332,483,376,324,79,11,3,104,4449
"De 40 a 44 años (017)",1634,1582,94,195,346,320,443,140,34,10,52,5065
"De 45 a 49 años (018)",1201,1178,68,120,190,188,341,169,71,31,23,4599
"De 50 y más años (019)",2149,2109,148,158,189,241,497,412,262,202,40,10595
"Ocupada (020)",13214,12044,2870,2349,2141,1476,1781,814,371,242,1170,29905
