"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PURUS (000)",36,8,28
"Sin nivel (001)",6,4,2
"Primaria (003)",7,1,6
"Secundaria (004)",13,2,11
"Superior no univ. incompleta (005)",2,,2
"Superior no univ. completa (006)",6,,6
"Superior univ. incompleta (007)",1,,1
"Superior univ. completa (008)",1,1,
"De 14 a 29 años (010)",23,7,16
"Sin nivel (011)",5,4,1
"Primaria (013)",6,1,5
"Secundaria (014)",6,1,5
"Superior no univ. incompleta (015)",1,,1
"Superior no univ. completa (016)",3,,3
"Superior univ. incompleta (017)",1,,1
"Superior univ. completa (018)",1,1,
"De 30 a 44 años (020)",12,1,11
"Sin nivel (021)",1,,1
"Primaria (023)",1,,1
"Secundaria (024)",6,1,5
"Superior no univ. incompleta (025)",1,,1
"Superior no univ. completa (026)",3,,3
"De 45 a 64 años (030)",1,,1
"Secundaria (034)",1,,1
,,,
"AREA URBANA (050)",30,5,25
"Sin nivel (051)",4,3,1
"Primaria (053)",6,1,5
"Secundaria (054)",10,,10
"Superior no univ. incompleta (055)",2,,2
"Superior no univ. completa (056)",6,,6
"Superior univ. incompleta (057)",1,,1
"Superior univ. completa (058)",1,1,
"De 14 a 29 años (060)",18,5,13
"Sin nivel (061)",3,3,
"Primaria (063)",5,1,4
"Secundaria (064)",4,,4
"Superior no univ. incompleta (065)",1,,1
"Superior no univ. completa (066)",3,,3
"Superior univ. incompleta (067)",1,,1
"Superior univ. completa (068)",1,1,
"De 30 a 44 años (070)",11,,11
"Sin nivel (071)",1,,1
"Primaria (073)",1,,1
"Secundaria (074)",5,,5
"Superior no univ. incompleta (075)",1,,1
"Superior no univ. completa (076)",3,,3
"De 45 a 64 años (080)",1,,1
"Secundaria (084)",1,,1
,,,
"AREA RURAL (100)",6,3,3
"Sin nivel (101)",2,1,1
"Primaria (103)",1,,1
"Secundaria (104)",3,2,1
"De 14 a 29 años (110)",5,2,3
"Sin nivel (111)",2,1,1
"Primaria (113)",1,,1
"Secundaria (114)",2,1,1
"De 30 a 44 años (120)",1,1,
"Secundaria (124)",1,1,
